n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,CLD,bupa,0.698953781512605,0.0796801659620181,0.629899159663866,0.0599218610760875,0.731924369747899,0.0798469683374398,0.72572268907563,0.0762701409130398,0.732663865546219,0.0798098459925923,0.722352941176471,0.062463659062487,0.732214285714286,0.0819175705314613,0.73303781512605,0.0759459124157668,0.729802521008403,0.0714969252769779,0.729831932773109,0.0669417901224894,0.726403361344538,0.0796490833750562,0.734899159663866,0.0787795637130952,0.719966386554622,0.0741262865192567,0.723319327731092,0.0697616291264569,0.727100840336134,0.0801933710958571,0.741974789915966,0.0812936844824113
9,CLD,bupa,0.695966386554622,0.0721698232875579,0.623697478991597,0.0557793044670919,0.681260504201681,0.0930925315422673,0.64,0.0924685456654362,0.672857142857143,0.0669591423483824,0.669747899159664,0.0806041573656276,0.684789915966386,0.104878266388687,0.681176470588235,0.0845095764520846,0.727731092436975,0.0774690867849384,0.716218487394958,0.0718846864062609,0.687310924369748,0.0646269541778206,0.713865546218487,0.08869892863588,0.698739495798319,0.0530651550265962,0.689915966386555,0.0654024135346763,0.707226890756303,0.0720919380129399,0.695882352941177,0.0923617808074929
19,CLD,bupa,0.698655462184874,0.080513772093988,0.62890756302521,0.0766342734672025,0.704705882352941,0.082743789448564,0.683697478991597,0.0968071441530404,0.733697478991597,0.0876007148393816,0.701932773109244,0.0762070030683017,0.727731092436975,0.0883441594201475,0.713109243697479,0.0826318188200066,0.728151260504202,0.0722963164318522,0.715882352941177,0.0573121154496436,0.724957983193277,0.0798894578728088,0.739831932773109,0.0833465846395181,0.693025210084034,0.0612082314615223,0.707142857142857,0.0666834359720427,0.739411764705882,0.103426569568488,0.75109243697479,0.0703731550548996
29,CLD,bupa,0.68436974789916,0.065668444063046,0.628991596638655,0.0401259893136545,0.707310924369748,0.0719076044347735,0.707310924369748,0.0713973128725172,0.719159663865546,0.0781987346142472,0.719159663865546,0.0620608448421568,0.745294117647059,0.0686525421461365,0.713361344537815,0.052967773023695,0.693193277310924,0.0703337304244197,0.744873949579832,0.0729370026386752,0.71890756302521,0.0789540904660506,0.730924369747899,0.0734126590752782,0.721932773109244,0.0698703547441905,0.710168067226891,0.0652035020309662,0.739159663865546,0.0887766948034445,0.771596638655462,0.0910659723616671
39,CLD,bupa,0.687226890756303,0.0704867885134652,0.634621848739496,0.0510646639341353,0.722016806722689,0.0639880391965022,0.707226890756303,0.0730616843064091,0.727731092436975,0.0711286061539669,0.730756302521008,0.0621447368385968,0.751008403361345,0.0737328651177554,0.71890756302521,0.0690772999995834,0.722268907563025,0.0843972059432934,0.739159663865546,0.0617622604113272,0.724789915966386,0.0918556117650829,0.759831932773109,0.0700177023224429,0.727899159663866,0.0829309542579391,0.730588235294118,0.0696597600436459,0.739411764705882,0.0796449232287073,0.75109243697479,0.0880913859137373
49,CLD,bupa,0.69890756302521,0.0858889946105382,0.634873949579832,0.0545165256204421,0.730672268907563,0.0593232739958773,0.727731092436975,0.0790263546708292,0.733697478991597,0.0751216950842752,0.719243697478992,0.0569743354550841,0.742352941176471,0.0672597958686421,0.736302521008403,0.0771674876106766,0.716302521008403,0.0698711969713952,0.730840336134454,0.0587074351245312,0.722016806722689,0.0886144536783766,0.748319327731092,0.0772654943043465,0.727899159663866,0.0803104241018141,0.736218487394958,0.0779843704634418,0.733697478991597,0.0856157779637564,0.759663865546218,0.0836198966210961
59,CLD,bupa,0.695966386554622,0.0803534003144026,0.63781512605042,0.0486750596308029,0.739327731092437,0.0682391116298608,0.713193277310924,0.0793691930608513,0.725042016806723,0.0743599090380989,0.713193277310924,0.0586312048701773,0.736638655462185,0.0783985525569262,0.733613445378151,0.0662060684037031,0.727647058823529,0.0716445901416546,0.724789915966386,0.0699520596522588,0.730672268907563,0.0777170855727405,0.730756302521008,0.0812027377165856,0.724789915966386,0.0755350059032731,0.73327731092437,0.0775522964498816,0.730672268907563,0.0761155196454254,0.748067226890756,0.0860658103650877
69,CLD,bupa,0.687226890756303,0.0738081152630311,0.623529411764706,0.05004999501299,0.727563025210084,0.0768802194899842,0.733613445378151,0.0719293697982832,0.722016806722689,0.0735365342688811,0.727731092436975,0.0549590967772805,0.730756302521008,0.0781961257923286,0.751176470588235,0.0739044191956287,0.739411764705882,0.0784288214871234,0.724873949579832,0.0666822004829359,0.730756302521008,0.0831628083676112,0.739579831932773,0.0833647046851481,0.710336134453782,0.0843886524142547,0.730420168067227,0.0776863373314746,0.719159663865546,0.0744927425128292,0.753781512605042,0.0797153800513219
79,CLD,bupa,0.693025210084034,0.0767517736946753,0.620504201680672,0.0586661894684998,0.736470588235294,0.0855596268606102,0.748151260504202,0.0857408739267905,0.724957983193277,0.0772358361451997,0.721764705882353,0.0573244355135837,0.716218487394958,0.0777996265869737,0.75109243697479,0.069306988380374,0.742436974789916,0.0656457980920819,0.730672268907563,0.0720026907864032,0.739495798319328,0.0895500289395443,0.733529411764706,0.0832139766192752,0.718991596638656,0.0762215705210389,0.72781512605042,0.0744354739712584,0.719159663865546,0.0654165683694995,0.739159663865546,0.0845912404298311
89,CLD,bupa,0.687226890756303,0.0711559580512109,0.643697478991597,0.062818834224727,0.733697478991597,0.0846137305713654,0.736554621848739,0.0916435261485622,0.724873949579832,0.076248330316746,0.727647058823529,0.053668254344393,0.719075630252101,0.0758902575002468,0.742436974789916,0.0744763619903637,0.73655462184874,0.0749887201303511,0.727899159663866,0.0677672031315533,0.742352941176471,0.071494120524629,0.730756302521008,0.0780575324220392,0.719075630252101,0.0733134617308348,0.727647058823529,0.0724526468041118,0.721932773109244,0.068638826016646,0.753865546218487,0.086382167541656
