n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,DCP,bupa,0.676798319327731,0.0699969757053324,0.685697478991597,0.066135171269236,0.70581512605042,0.0939543226656026,0.700289915966387,0.0673244006729359,0.714621848739496,0.081684571449635,0.715596638655462,0.0804574805404114,0.703474789915966,0.0880918402650927,0.725798319327731,0.08417335097618,0.716172268907563,0.084660667398758,0.712084033613445,0.0891183640680396,0.723861344537815,0.0785882503402469,0.720004201680672,0.0733655189810245,0.718810924369748,0.0826938017587104,0.727659663865546,0.0799088697342188,0.711491596638655,0.0708319677533687,0.725163865546219,0.0816210265020536
9,DCP,bupa,0.675882352941177,0.0782411157786689,0.672436974789916,0.0608376020143864,0.695966386554622,0.069220894960945,0.684201680672269,0.0777408578921411,0.693109243697479,0.0730311784723125,0.696386554621849,0.079042288599713,0.687058823529412,0.0793555000535169,0.71655462184874,0.0893685176540432,0.690336134453781,0.0758118475529631,0.646974789915966,0.100319578168812,0.690084033613445,0.0735066524734313,0.672436974789916,0.089809705355354,0.701596638655462,0.0658107735356561,0.698823529411765,0.0862856044377836,0.693025210084034,0.0638496343635777,0.710420168067227,0.0597646470661466
19,DCP,bupa,0.658319327731092,0.0668032872643464,0.684117647058824,0.0652888841127554,0.69,0.0893750143859808,0.678403361344538,0.0619941177983038,0.713697478991597,0.0884773257802462,0.681680672268907,0.0812071823796331,0.707563025210084,0.0726857023337133,0.713193277310924,0.0964196357047679,0.704873949579832,0.0919755907505553,0.698655462184874,0.075873868453086,0.698991596638655,0.0929117760958972,0.69,0.0720486622861814,0.721932773109244,0.0761559177680438,0.707394957983193,0.0922915416497713,0.710252100840336,0.0570298767760458,0.701848739495798,0.0537330547333593
29,DCP,bupa,0.672857142857143,0.0734204073980048,0.678235294117647,0.0734966713823266,0.695882352941177,0.105074094075115,0.687226890756303,0.0621151854193509,0.719495798319328,0.0945242650316306,0.684789915966386,0.0924322636945651,0.704453781512605,0.0773109751146669,0.716470588235294,0.0990458128788257,0.722436974789916,0.0931405614290594,0.701680672268908,0.0897976480978444,0.71344537815126,0.0818933803646785,0.701680672268908,0.0745961042728475,0.727647058823529,0.0828435338623,0.722436974789916,0.103088882008217,0.707226890756303,0.0611160576311389,0.730672268907563,0.0706551747873769
39,DCP,bupa,0.678655462184874,0.0727549719388834,0.683781512605042,0.0707381916137212,0.707394957983193,0.094006537055945,0.690252100840336,0.0656409571746894,0.701932773109244,0.103897820566813,0.719495798319328,0.095195080086534,0.698823529411765,0.079661422900222,0.727899159663866,0.0878612854973937,0.702016806722689,0.0926804365349393,0.721596638655462,0.0867778344347018,0.716218487394958,0.0768365771169493,0.710336134453782,0.0563130416470487,0.707731092436975,0.0792155674149956,0.725210084033613,0.0762285701439937,0.707478991596639,0.0553892087024018,0.710336134453782,0.0683060558610953
49,DCP,bupa,0.678655462184874,0.0727549719388834,0.68109243697479,0.0638719958412221,0.701680672268908,0.097154875047757,0.698739495798319,0.0595107911286947,0.716386554621849,0.0825140385866578,0.710588235294118,0.0820285537499892,0.704453781512605,0.100015338292805,0.731176470588235,0.0858354446601882,0.725210084033613,0.0885978058477151,0.721848739495798,0.0829264127504556,0.722016806722689,0.0725915106524906,0.716134453781513,0.0692843425894423,0.727899159663866,0.0760149981215993,0.728067226890756,0.071396378750803,0.733865546218487,0.0592369757330006,0.716134453781512,0.0805426128956321
59,DCP,bupa,0.672857142857143,0.0709829014035194,0.69563025210084,0.0529045565699397,0.713361344537815,0.0816654644962815,0.701848739495798,0.0628810052719887,0.710588235294118,0.0812491048406269,0.704873949579832,0.0934792272893241,0.710336134453782,0.0927640846637034,0.73672268907563,0.0950137826354341,0.716470588235294,0.0863237881747345,0.730504201680672,0.0757557315750051,0.719159663865546,0.0723164458330427,0.730672268907563,0.0781168664213844,0.727983193277311,0.075528565315466,0.736638655462185,0.0723081994244573,0.719243697478992,0.0615653521684338,0.710420168067227,0.0869640313242002
69,DCP,bupa,0.675882352941177,0.0750982951923145,0.692689075630252,0.0592581648571483,0.693025210084034,0.091240925209916,0.696050420168067,0.0686509420722369,0.707731092436975,0.0730451439916009,0.701764705882353,0.089110373225499,0.698991596638655,0.0962467594717705,0.722352941176471,0.0856100499466539,0.728067226890756,0.0972309216714874,0.710336134453782,0.106284749569075,0.730756302521008,0.0724632048193811,0.72781512605042,0.0723323392178257,0.72218487394958,0.0904342940520614,0.727899159663866,0.0721969980763739,0.704621848739496,0.0587157208684006,0.724873949579832,0.0789351567443478
79,DCP,bupa,0.675798319327731,0.070402137863696,0.689915966386555,0.0584045368628717,0.693025210084034,0.100166633757344,0.696050420168067,0.0586780246562915,0.701932773109244,0.072324311596512,0.71344537815126,0.0850876934349073,0.695966386554622,0.0934976913936693,0.728067226890756,0.081523866500951,0.71344537815126,0.0875035237475378,0.716218487394958,0.0992680491386858,0.727899159663866,0.0736633966675411,0.724957983193277,0.0708169009796823,0.722352941176471,0.089808307495415,0.742352941176471,0.0674205892988439,0.695882352941177,0.0627806646895458,0.730924369747899,0.0908364967130779
89,DCP,bupa,0.672857142857143,0.072324311596512,0.695882352941177,0.0594582931579273,0.695798319327731,0.103555873514448,0.707563025210084,0.0562906742278116,0.719327731092437,0.0824253192870876,0.719159663865546,0.073338875447794,0.695882352941177,0.0928295289139144,0.719243697478992,0.0840134896539385,0.719243697478992,0.100398542026336,0.71327731092437,0.102619536007591,0.733697478991597,0.0758389588397328,0.713361344537815,0.071349382148333,0.707731092436975,0.0894718387377173,0.733613445378151,0.0781878973991767,0.707478991596639,0.074029591295975,0.742605042016807,0.0902778566931706
