n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,Hostility,bupa,0.721247899159664,0.0966330358924975,0.700231092436975,0.0749515960361422,0.71646218487395,0.0885347108182146,0.719487394957983,0.080714651294819,0.724386554621849,0.0875944586061258,0.714563025210084,0.0963691275572923,0.721831932773109,0.0790211020304537,0.719159663865546,0.079677142262741,0.72422268907563,0.0847587823448012,0.728214285714286,0.075326843617127,0.724836134453781,0.0836926663719107,0.711970588235294,0.0798217041913805,0.712306722689076,0.0904533580647087,0.718285714285714,0.0656354298324346,0.721483193277311,0.0861843787417003,0.723924369747899,0.0847381370641784
9,Hostility,bupa,0.68436974789916,0.102583899523269,0.675378151260504,0.0595711461142394,0.692857142857143,0.0559779235142954,0.677899159663865,0.073940082999395,0.689747899159664,0.0882746788629426,0.684201680672269,0.10627127598889,0.710084033613445,0.072086278262801,0.678235294117647,0.079903599459797,0.718739495798319,0.0731548952203033,0.692773109243698,0.0706617819691157,0.681344537815126,0.0510293113401914,0.692941176470588,0.0792308195957571,0.675546218487395,0.0921380873656838,0.664117647058824,0.0725777281160724,0.661008403361344,0.0690477042743549,0.710252100840336,0.0751210161722395
19,Hostility,bupa,0.716302521008403,0.10023957367242,0.689747899159664,0.0669611929678879,0.716050420168067,0.0707807720540488,0.698487394957983,0.0707478964424982,0.719243697478992,0.075222940964305,0.704789915966386,0.101753606425173,0.716134453781513,0.0845444788941665,0.693193277310924,0.0854699378694397,0.733445378151261,0.0791214142753138,0.715798319327731,0.0561522305336435,0.713529411764706,0.0770867634844306,0.698655462184874,0.055562820731869,0.684201680672269,0.0967630425887642,0.692773109243698,0.0527610945781412,0.699159663865546,0.0850065063905463,0.681008403361345,0.0831203407560349
29,Hostility,bupa,0.698991596638655,0.0975600937609236,0.701428571428571,0.0593150731213833,0.715966386554622,0.0552580915051213,0.718823529411765,0.0942802383772795,0.716302521008403,0.0684817523868067,0.731008403361345,0.112555872314607,0.730756302521008,0.0662157857515964,0.704705882352941,0.0981457604332371,0.724957983193277,0.089813418315169,0.747731092436975,0.0710456037672653,0.704957983193277,0.0740783299025638,0.707394957983193,0.0711923374260933,0.716134453781513,0.0947381837630341,0.730504201680672,0.0503579603795765,0.728151260504202,0.0750525189665322,0.727983193277311,0.0837071623585571
39,Hostility,bupa,0.710840336134454,0.0993979080992983,0.698823529411765,0.0704827810396758,0.719159663865546,0.0787337109880971,0.716218487394958,0.094015091851163,0.736554621848739,0.0881959362667887,0.725126050420168,0.108315709466203,0.718991596638656,0.0671371950649152,0.716134453781513,0.0979421688545081,0.716470588235294,0.091766689560375,0.736050420168067,0.0763986795219973,0.716470588235294,0.0576203480759461,0.701428571428571,0.0605574125390005,0.719327731092437,0.0911006022367094,0.721764705882353,0.060406147852137,0.733949579831933,0.0754112401052426,0.71327731092437,0.0841509917856735
49,Hostility,bupa,0.710756302521008,0.0967062646624494,0.690084033613445,0.0755054473922054,0.701764705882353,0.0875317198259707,0.716050420168067,0.073814121330829,0.736470588235294,0.0600475557391536,0.707478991596639,0.108227297870268,0.733949579831933,0.0856805924147762,0.721848739495798,0.0726964963316543,0.728067226890756,0.0795914605149411,0.736218487394958,0.0686010925200056,0.707731092436975,0.080150037023718,0.710336134453782,0.0791573543447202,0.719243697478992,0.100654551859485,0.730672268907563,0.0717012973261881,0.731344537815126,0.0944854507949741,0.71327731092437,0.08757236178048
59,Hostility,bupa,0.725126050420168,0.093389078486412,0.70436974789916,0.0688765843233898,0.716386554621849,0.0802688422660814,0.724957983193277,0.0755524550591482,0.719075630252101,0.0842909691318527,0.701848739495798,0.104927893186878,0.725126050420168,0.0762825382998984,0.716134453781513,0.0825021990083592,0.725294117647059,0.102351308326403,0.73327731092437,0.075320665254491,0.730924369747899,0.0759860909969596,0.716134453781513,0.0767382271244317,0.719411764705882,0.0933083872493359,0.727731092436975,0.0596145296475056,0.71672268907563,0.0933848775389501,0.719243697478992,0.0929342789409644
69,Hostility,bupa,0.733613445378151,0.0927885682461088,0.713109243697479,0.065485379603541,0.710588235294118,0.0900830929337565,0.721932773109244,0.0715360864917181,0.724957983193277,0.0939533129147137,0.698823529411765,0.0952209574298755,0.719411764705882,0.0880688038433022,0.736554621848739,0.0746993755299479,0.734033613445378,0.104790548668774,0.736302521008403,0.0756258946768392,0.724957983193277,0.0923402005945549,0.707478991596639,0.0749564863165073,0.725126050420168,0.0928219214880921,0.727731092436975,0.0627563515318451,0.722521008403361,0.0918842655941489,0.716218487394958,0.0832955920467501
79,Hostility,bupa,0.730840336134454,0.0925701866720062,0.713109243697479,0.0734739820418187,0.710420168067227,0.076300793425574,0.733613445378151,0.0704268752836487,0.725126050420168,0.105324698997188,0.713529411764706,0.0916856402076965,0.728067226890756,0.0794553010553069,0.727899159663866,0.0922507248500351,0.731176470588235,0.0928219214880921,0.724705882352941,0.0776736103608351,0.710420168067227,0.0883079155151339,0.704705882352941,0.0906301644440384,0.713529411764706,0.0940471341167305,0.722016806722689,0.0623811473396371,0.731260504201681,0.0906159650872983,0.722268907563025,0.0914935731063334
89,Hostility,bupa,0.727983193277311,0.101924648073597,0.721764705882353,0.0772433533312827,0.719243697478992,0.0892335597661009,0.72781512605042,0.0797049951542576,0.727983193277311,0.104417602558637,0.710336134453782,0.0911299239640155,0.713529411764706,0.0807912773759838,0.722016806722689,0.0743240244109131,0.731008403361345,0.0840004136098042,0.730504201680672,0.0750376722780255,0.722100840336134,0.0911772666020921,0.707478991596639,0.0895548040427292,0.719411764705882,0.0883143570016448,0.71327731092437,0.0697223581642878,0.719579831932773,0.0879257832364048,0.725126050420168,0.0927635771635912
