n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,LSC,bupa,0.705579831932773,0.0902942704421131,0.701840336134454,0.0746858909465344,0.735554621848739,0.0741642329436046,0.72572268907563,0.0713723645827825,0.716075630252101,0.0745554424385912,0.72877731092437,0.0757038771042312,0.722109243697479,0.0794665521279643,0.729487394957983,0.0723953221901609,0.71818487394958,0.0769529242933279,0.71477731092437,0.0700172748672878,0.724995798319328,0.0742281340264419,0.726819327731092,0.0747946525236232,0.720201680672269,0.0823821243892268,0.720105042016807,0.081408164444928,0.71686974789916,0.0861800619852973,0.732810924369748,0.0755146669885844
9,LSC,bupa,0.687226890756303,0.0772670683062567,0.655126050420168,0.0858169320025327,0.698571428571429,0.0647489761551619,0.701596638655462,0.0588841224535725,0.672941176470588,0.0678343239087768,0.692773109243698,0.0696777796545153,0.704705882352941,0.0659557699890593,0.692941176470588,0.0570840582859519,0.678487394957983,0.0982831698697731,0.679075630252101,0.0787383448492751,0.69890756302521,0.0844425623496914,0.690252100840336,0.0553222352231009,0.670168067226891,0.0988983960904147,0.693361344537815,0.110250656147306,0.70453781512605,0.0656313938194746,0.722436974789916,0.0768110437708426
19,LSC,bupa,0.692941176470588,0.0944747792749886,0.692605042016807,0.0779595653055293,0.707478991596639,0.0984134115353394,0.70453781512605,0.0863973805828399,0.690336134453781,0.103752117468431,0.698991596638655,0.075410823918085,0.722436974789916,0.0745572288574022,0.724789915966386,0.0701066785028726,0.724789915966386,0.0796526070830456,0.692941176470588,0.0581881113570945,0.715798319327731,0.100083371157634,0.72781512605042,0.0626868602277493,0.698739495798319,0.105707509071621,0.684117647058824,0.0735201541457742,0.713109243697479,0.0890352779307621,0.716218487394958,0.0937267208057696
29,LSC,bupa,0.721764705882353,0.0887433242673566,0.678235294117647,0.0974310468396044,0.70453781512605,0.0795954036924409,0.719243697478992,0.064360519873992,0.71327731092437,0.0461442405079886,0.722016806722689,0.0673281217285038,0.727899159663866,0.0767065239156778,0.736386554621849,0.0771006050009511,0.710420168067227,0.0741775621614302,0.704705882352941,0.0674775904404809,0.727563025210084,0.0885037045061059,0.716386554621849,0.07005629680847,0.72781512605042,0.0746533546935022,0.701596638655462,0.0773651516879394,0.701764705882353,0.102690351637368,0.722100840336134,0.0841185844915122
39,LSC,bupa,0.713109243697479,0.0948370200356682,0.69563025210084,0.085717764159294,0.724705882352941,0.0772014407660575,0.730756302521008,0.0619702557331054,0.719243697478992,0.0767726256278295,0.73655462184874,0.0658164960768566,0.724957983193277,0.0802109534180404,0.745042016806723,0.0702363288064279,0.707647058823529,0.0778857068792441,0.724789915966386,0.086902702232966,0.742268907563025,0.0937777726832763,0.736638655462185,0.0781218381811205,0.704705882352941,0.0864091858732336,0.707478991596639,0.0890240412241992,0.710504201680672,0.0990997065088682,0.727899159663866,0.0605285768930939
49,LSC,bupa,0.710420168067227,0.100510821725021,0.70453781512605,0.0812616580504123,0.721848739495798,0.0703878708953678,0.733781512605042,0.0827595290940103,0.730756302521008,0.0704360103316769,0.721848739495798,0.0664095978161902,0.71327731092437,0.0736687222379758,0.733361344537815,0.0750397635386398,0.716386554621849,0.078391596556581,0.716134453781512,0.0769495879382654,0.748235294117647,0.0837822571322441,0.736554621848739,0.0722300831591723,0.727983193277311,0.0956056919654746,0.698823529411765,0.0697295600967565,0.70781512605042,0.104000475905714,0.730672268907563,0.0723028279025539
59,LSC,bupa,0.701680672268908,0.0959914184061768,0.716134453781513,0.0694404482212146,0.739495798319328,0.0777350038130656,0.75109243697479,0.0679060003395112,0.727983193277311,0.0793909388309987,0.730588235294118,0.0645768536613222,0.713193277310924,0.0835570520523144,0.733193277310924,0.0746815169289162,0.713613445378151,0.0866880481484189,0.713361344537815,0.0699892890141146,0.718991596638656,0.0700965490933158,0.727731092436975,0.0820025320115092,0.727899159663866,0.0878612854973937,0.710336134453782,0.0711407944877638,0.710672268907563,0.103822273944483,0.733613445378151,0.0754027078093688
69,LSC,bupa,0.701680672268908,0.0899635117801217,0.695798319327731,0.0832173238597145,0.742352941176471,0.0655680013602355,0.73109243697479,0.0928722457097807,0.730840336134454,0.0717984054420253,0.730588235294118,0.0660484957061357,0.713193277310924,0.0824643865676667,0.736470588235294,0.0688291781631916,0.719243697478992,0.0754385473679555,0.724957983193277,0.0640937125302325,0.724957983193277,0.0739952430954398,0.727899159663866,0.0732210956300408,0.724957983193277,0.0902343899704954,0.718991596638656,0.0672982814215671,0.72218487394958,0.0932787409148385,0.727731092436975,0.0741477270634864
79,LSC,bupa,0.698823529411765,0.0940911327198402,0.710336134453782,0.073940082999395,0.739411764705882,0.0679206153526181,0.730924369747899,0.0773807178976636,0.722268907563025,0.0776817417214948,0.748151260504202,0.080091523492589,0.716386554621849,0.0885599380942092,0.739327731092437,0.0737315349194561,0.722268907563025,0.0854651640537026,0.713193277310924,0.0759347020841713,0.719159663865546,0.0718658554154021,0.727899159663866,0.0732210956300408,0.722100840336134,0.0837961631226379,0.733613445378151,0.0664509373533871,0.725126050420168,0.0963287769149604,0.739411764705882,0.0622636213736069
89,LSC,bupa,0.707394957983193,0.0844321083719597,0.710336134453782,0.0789002093684917,0.742268907563025,0.0644270490678109,0.725042016806723,0.083679740432193,0.722268907563025,0.0798474111487421,0.724705882352941,0.0667433591306451,0.710588235294118,0.0878768228443701,0.736386554621849,0.0742746547403186,0.707731092436975,0.0836703633531381,0.730756302521008,0.0724632048193811,0.710252100840336,0.0662946568135062,0.721932773109244,0.0736619586975112,0.716386554621849,0.08198746050118,0.739159663865546,0.0665113649050096,0.719243697478992,0.0847675234788896,0.730588235294118,0.0726654052769092
99,LSC,bupa,0.707394957983193,0.0916439970427721,0.70453781512605,0.0785854828475527,0.739495798319328,0.0675203678205064,0.73672268907563,0.0812673063621938,0.719243697478992,0.0631072606272121,0.727647058823529,0.082908859377934,0.72218487394958,0.0811563441015796,0.730504201680672,0.0728033244514912,0.707647058823529,0.0882965862437948,0.724957983193277,0.0685239601541451,0.716386554621849,0.0696688267429309,0.724873949579832,0.0811341044264494,0.716386554621849,0.0828906870128134,0.727731092436975,0.0798953014014425,0.716302521008403,0.0867128447861211,0.733697478991597,0.0774989087904987
109,LSC,bupa,0.713193277310924,0.0895325472609984,0.70436974789916,0.0661904228470691,0.748235294117647,0.0755401475912528,0.730924369747899,0.0735600043067903,0.716386554621849,0.0735444829159015,0.724789915966386,0.0778996078821371,0.722268907563025,0.0867698772883876,0.71890756302521,0.0764805915826108,0.716302521008403,0.0728681214313546,0.722100840336134,0.0749979272468433,0.722016806722689,0.0732414529488211,0.733613445378151,0.0816602280632071,0.72218487394958,0.0790265532442276,0.730672268907563,0.0808755317433619,0.716302521008403,0.0822253627931645,0.730672268907563,0.0736201920600179
119,LSC,bupa,0.707478991596639,0.0882299140238734,0.707310924369748,0.0710933530169465,0.754033613445378,0.0744635078681697,0.725042016806723,0.0689960944341341,0.719327731092437,0.0750313458598256,0.730672268907563,0.0810761075560458,0.733697478991597,0.0858052738356285,0.73655462184874,0.0736223235845252,0.722016806722689,0.0707977859768731,0.71327731092437,0.064895135943418,0.718991596638656,0.0699419078498697,0.736554621848739,0.0798837612485949,0.725042016806723,0.0769016487771852,0.724873949579832,0.0866060057969194,0.719159663865546,0.0769597839070633,0.733697478991597,0.0789354052477948
129,LSC,bupa,0.710336134453782,0.0889346258137744,0.701512605042017,0.0745201231244325,0.751260504201681,0.0738890763438484,0.724873949579832,0.0737574960539768,0.719411764705882,0.0771549292918471,0.733697478991597,0.0778474159269141,0.72781512605042,0.0796370415823205,0.733613445378151,0.0729572241358032,0.725042016806723,0.0755698482719527,0.722016806722689,0.0628997194488611,0.730756302521008,0.072966042395263,0.736386554621849,0.0744930058358601,0.725042016806723,0.0769016487771852,0.724957983193277,0.0915894000000818,0.724957983193277,0.0818646799808718,0.742436974789916,0.0707284299857197
139,LSC,bupa,0.713361344537815,0.0889799620146171,0.704285714285714,0.0608539146368537,0.74546218487395,0.0732903409722455,0.722016806722689,0.0695048243184279,0.710672268907563,0.0782611698647366,0.730756302521008,0.0819328449328134,0.727983193277311,0.0738062548774093,0.724873949579832,0.0669253273650149,0.724873949579832,0.0684255877557365,0.719075630252101,0.065553460300467,0.727731092436975,0.0686097273174796,0.733781512605042,0.0775751584032942,0.727899159663866,0.0708531775927682,0.730840336134454,0.0900045376484272,0.724957983193277,0.0797538071699359,0.739495798319328,0.0766299731350709
149,LSC,bupa,0.710504201680672,0.0883843390155742,0.70436974789916,0.0650557435024007,0.745378151260504,0.0736668050769713,0.724957983193277,0.0679686552119059,0.716470588235294,0.0756418706709985,0.730756302521008,0.0852527807547371,0.727899159663866,0.0729247379360368,0.727899159663866,0.0743767899307251,0.724957983193277,0.0746329619671962,0.716218487394958,0.0706116296656214,0.733529411764706,0.0561754911303253,0.733613445378151,0.0781186241503791,0.730756302521008,0.0708192830677072,0.72781512605042,0.0829835892153326,0.722016806722689,0.0761768813048257,0.73655462184874,0.0748441876545944
159,LSC,bupa,0.704705882352941,0.0870803429921513,0.70436974789916,0.0650557435024007,0.748319327731092,0.0724924884928401,0.724957983193277,0.0679686552119059,0.716386554621849,0.0760422949371371,0.733613445378151,0.0744086421792617,0.727983193277311,0.078774808304835,0.730756302521008,0.0781961257923286,0.724957983193277,0.0746329619671962,0.716218487394958,0.0693151956524921,0.72781512605042,0.0668059299144337,0.730672268907563,0.0833485144941331,0.730672268907563,0.0749143940454805,0.727899159663866,0.0858979011325846,0.719159663865546,0.0806195361420833,0.742436974789916,0.079471148980684
169,LSC,bupa,0.701596638655462,0.0923311931872453,0.713193277310924,0.0623462337303531,0.745378151260504,0.0774822524129963,0.72781512605042,0.0594503748698206,0.722016806722689,0.0761057776044205,0.733613445378151,0.0848633175986765,0.725042016806723,0.0813500549864842,0.733697478991597,0.0777082006315035,0.730756302521008,0.0705128315415009,0.719075630252101,0.0708722776558743,0.730504201680672,0.0728033244514912,0.724873949579832,0.0774986556808517,0.724873949579832,0.0800083558473138,0.730672268907563,0.0830882869371776,0.716218487394958,0.0768365771169493,0.736638655462185,0.0758355963250105
179,LSC,bupa,0.698739495798319,0.0892808533855589,0.710420168067227,0.073535894072005,0.742521008403361,0.0792625030534939,0.724873949579832,0.0547290480066443,0.719159663865546,0.0769597839070633,0.739327731092437,0.0818912724984796,0.724873949579832,0.0773588127573532,0.72781512605042,0.0694682953808098,0.730756302521008,0.0705128315415009,0.716134453781513,0.0696739508771474,0.736302521008403,0.070665779291719,0.722100840336134,0.0746361158457677,0.724873949579832,0.0787978632270113,0.727731092436975,0.0845706462729104,0.719075630252101,0.0761039733858997,0.730756302521008,0.0731142876867394
