n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,N2,bupa,0.706067226890756,0.0788590021468886,0.694634453781513,0.0845858037876568,0.726915966386555,0.0835647117795978,0.714306722689076,0.083576513054224,0.732226890756303,0.0832097007899441,0.702159663865546,0.0774851592765208,0.721294117647059,0.0919344021881457,0.715890756302521,0.0776585439918542,0.718256302521008,0.0857498907290538,0.726760504201681,0.0589071829460752,0.71786974789916,0.0724787900726076,0.709655462184874,0.0843898454874813,0.733689075630252,0.0801961598278057,0.724920168067227,0.0742342921370094,0.727268907563025,0.0776202983470576,0.718134453781513,0.0806270260803169
9,N2,bupa,0.713361344537815,0.0850595173956461,0.670168067226891,0.0919025805735583,0.707478991596639,0.081514482059881,0.678571428571429,0.090183246299119,0.730840336134454,0.0754214879894071,0.669831932773109,0.074198978900641,0.687310924369748,0.0865799551370353,0.687563025210084,0.0779867348434353,0.684453781512605,0.0840553193255374,0.715714285714286,0.0479148007944898,0.675546218487395,0.0783016634524161,0.67546218487395,0.0781565814479286,0.707226890756303,0.0845699040475126,0.707394957983193,0.0427164898704671,0.701848739495798,0.0795861369154125,0.710756302521008,0.0715934823938376
19,N2,bupa,0.698487394957983,0.0856848048017699,0.69327731092437,0.0958220685748421,0.716386554621849,0.0737649954181202,0.730924369747899,0.0776600730400232,0.716470588235294,0.0679087733900888,0.68453781512605,0.0973921826028545,0.702100840336134,0.106371972750674,0.695882352941177,0.0593671690810505,0.710504201680672,0.0825225962601649,0.701512605042017,0.0637078499301597,0.710840336134454,0.0825037682067623,0.695882352941177,0.0829892621496956,0.739663865546219,0.090959070786141,0.722016806722689,0.0625544823695432,0.722268907563025,0.073435581054461,0.704621848739496,0.054083027939762
29,N2,bupa,0.698655462184874,0.0701636781084764,0.687478991596639,0.0792172017176823,0.718991596638656,0.0760081852896498,0.727983193277311,0.0843998090192006,0.725210084033613,0.0783653183233056,0.699075630252101,0.0892520230826825,0.725126050420168,0.0848997843662314,0.695966386554622,0.0720196339357912,0.728151260504202,0.0949594291883987,0.724621848739496,0.0547789882155733,0.728151260504202,0.0784566285866563,0.70781512605042,0.0933979838701214,0.725378151260504,0.0990296509552324,0.719075630252101,0.0890853631734927,0.733781512605042,0.0735440028206614,0.701512605042017,0.0781555775240091
39,N2,bupa,0.71344537815126,0.0743010069137719,0.701764705882353,0.0845098085637966,0.713529411764706,0.082367660034911,0.710588235294118,0.0864010131516829,0.757058823529412,0.0957962307502435,0.690084033613445,0.0852091447967285,0.716218487394958,0.0984601208877021,0.701848739495798,0.0849666225435897,0.725210084033613,0.0866511115379265,0.736218487394958,0.0530684078725785,0.722352941176471,0.0751872073455328,0.704789915966386,0.0841288442659474,0.734117647058824,0.102588488606139,0.716134453781513,0.0636634967950457,0.727899159663866,0.0794460179363673,0.713193277310924,0.0884675703100038
49,N2,bupa,0.698991596638655,0.0705123864423406,0.687310924369748,0.084522805802362,0.72781512605042,0.0719571260817348,0.71344537815126,0.0706970838326272,0.745294117647059,0.0919804105398269,0.687142857142857,0.0837802436157569,0.716050420168067,0.0958379936519667,0.719243697478992,0.0686948163051136,0.716302521008403,0.0812481391287695,0.724789915966386,0.0609991813449638,0.716386554621849,0.0764682795846909,0.716134453781513,0.0806098030800946,0.733865546218487,0.095635232287835,0.736386554621849,0.0742746547403186,0.733949579831933,0.0871686000583382,0.704705882352941,0.0922731763242217
59,N2,bupa,0.696050420168067,0.067877396647234,0.690252100840336,0.0990339293681605,0.725042016806723,0.0821944395915664,0.719327731092437,0.0748868956522087,0.733781512605042,0.0954601136004434,0.695882352941177,0.0965468243912441,0.716134453781513,0.0973459280482203,0.701764705882353,0.0650070597559036,0.707731092436975,0.080150037023718,0.724789915966386,0.0600149452939842,0.716638655462185,0.0815350301725731,0.707563025210084,0.0819977477051783,0.745378151260504,0.0784373747203139,0.730588235294118,0.0711784493136644,0.73655462184874,0.0787401385287765,0.710588235294118,0.0930108659931238
69,N2,bupa,0.704705882352941,0.062887743017209,0.690168067226891,0.0826506651696233,0.725126050420168,0.0818803969630189,0.719243697478992,0.0740073303911694,0.722016806722689,0.0870268048363356,0.716050420168067,0.0842140453227538,0.724957983193277,0.0973501595608587,0.716302521008403,0.0798532577542853,0.707563025210084,0.0747788995128202,0.721680672268908,0.0640774899854099,0.70781512605042,0.0703288217102178,0.716134453781513,0.0757616868092127,0.739579831932773,0.0812927912976957,0.730588235294118,0.0711784493136643,0.730840336134454,0.0727537317083124,0.721848739495798,0.0759387834798352
79,N2,bupa,0.710756302521008,0.0840810323727336,0.693025210084034,0.0784784272613701,0.739663865546219,0.0734169341130795,0.713361344537815,0.085186719743703,0.73655462184874,0.095463771176047,0.715966386554622,0.0702316367247723,0.719243697478992,0.0950372325740189,0.716218487394958,0.0901334664459998,0.719159663865546,0.0849370668788081,0.727647058823529,0.0647567312056412,0.713613445378151,0.0803670697443977,0.721932773109244,0.0924840301248555,0.739495798319328,0.074588741067794,0.736470588235294,0.0685927998040057,0.733613445378151,0.0703499602108105,0.724873949579832,0.0728896538010761
89,N2,bupa,0.710672268907563,0.0839206056199024,0.693109243697479,0.0805416387127822,0.725210084033613,0.0860869582791395,0.713529411764706,0.0766642155191626,0.730840336134454,0.0907684485422926,0.710252100840336,0.0750489121186568,0.728067226890756,0.0976616981204742,0.716134453781513,0.0806769373065662,0.716302521008403,0.087875929967799,0.733529411764706,0.0543380546848124,0.728151260504202,0.0764641751448431,0.707478991596639,0.0864629703402376,0.739495798319328,0.0745887410677939,0.727731092436975,0.0761296923462099,0.742605042016807,0.0738105071185012,0.724873949579832,0.0777775872251329
