n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,F1,bupa,0.724348739495798,0.0825569046783376,0.702861344537815,0.0604619614010678,0.714924369747899,0.0738510231271835,0.718310924369748,0.0768931852949289,0.720365546218487,0.0859144412013056,0.723033613445378,0.0737112730850235,0.723327731092437,0.0747363264509464,0.725063025210084,0.0786254952171332,0.715113445378151,0.0663994834745931,0.720163865546218,0.0862038652744188,0.707966386554622,0.0845691567947437,0.716424369747899,0.0759951358527121,0.711260504201681,0.0837769644290009,0.721340336134454,0.0884693260287196,0.724584033613445,0.0855827223871179,0.707453781512605,0.0732735791525818
9,F1,bupa,0.681428571428571,0.0929173917626345,0.713613445378151,0.0686872202998238,0.672941176470588,0.0843930687467376,0.666974789915966,0.0812180514546253,0.696302521008403,0.0900438892114458,0.707563025210084,0.0734823111782752,0.666806722689076,0.0859165789924811,0.696134453781513,0.0514754185122746,0.710168067226891,0.0824742813084221,0.698739495798319,0.064004529592787,0.695966386554622,0.0826456810367356,0.69344537815126,0.0774861004048432,0.680840336134454,0.0780289797651044,0.699243697478992,0.0859843149592227,0.69890756302521,0.0640373751195666,0.696050420168067,0.0737466977577441
19,F1,bupa,0.72218487394958,0.0925211398515481,0.68453781512605,0.0717854543529613,0.705126050420168,0.104864799153105,0.693025210084034,0.0691429220529262,0.722016806722689,0.0825563903982438,0.716218487394958,0.0570604805255484,0.69890756302521,0.0750010657782189,0.736638655462185,0.07193286037151,0.693025210084034,0.0653376580894215,0.704789915966386,0.0735698701550545,0.698823529411765,0.0915089653135893,0.731176470588235,0.0738661888694161,0.684453781512605,0.0811380209853493,0.696218487394958,0.0745669101521301,0.710756302521008,0.05614105084322,0.678403361344538,0.0825271599898582
29,F1,bupa,0.710504201680672,0.0798886721556883,0.698739495798319,0.0710416830394378,0.713613445378151,0.0785441366242536,0.693025210084034,0.0814081458368945,0.733949579831933,0.090938710767841,0.704621848739496,0.0718805385536886,0.71655462184874,0.0820886496353286,0.745378151260504,0.0782992083734118,0.704621848739496,0.0632659578661918,0.702352941176471,0.0990383660456063,0.710672268907563,0.0992490774135117,0.704957983193277,0.0750767692110997,0.701848739495798,0.0913842095924589,0.733949579831933,0.0848070846245958,0.707394957983193,0.0804246511009146,0.701596638655462,0.0788040864017434
39,F1,bupa,0.727983193277311,0.0774752141440081,0.701848739495798,0.0785071662587764,0.69890756302521,0.073062597136821,0.719579831932773,0.0875555606138143,0.728067226890756,0.0999228413419354,0.716302521008403,0.0757465647779078,0.733865546218487,0.0868519455247346,0.734033613445378,0.0797451491538177,0.716218487394958,0.0635268551350755,0.722352941176471,0.0944373986875386,0.710588235294118,0.0699497602017819,0.699159663865546,0.0836095743934536,0.696218487394958,0.0893502540397211,0.739663865546219,0.0749317259408844,0.710420168067227,0.0719917382694263,0.701764705882353,0.0705976273152436
49,F1,bupa,0.730840336134454,0.086616740919134,0.698823529411765,0.0576571027828003,0.716386554621849,0.0783225034720787,0.719579831932773,0.0939115473830822,0.72218487394958,0.0894107818512003,0.724957983193277,0.0823263071700806,0.736470588235294,0.0810082871321969,0.722436974789916,0.0845465670142531,0.710420168067227,0.0664370028979573,0.71655462184874,0.0930638703333775,0.716470588235294,0.0827855024444599,0.710672268907563,0.0861808305837579,0.707899159663866,0.0972906193690811,0.72218487394958,0.0872495738242193,0.72218487394958,0.101173740777329,0.698739495798319,0.0614579487066943
59,F1,bupa,0.733697478991597,0.0783847900882926,0.705042016806723,0.0746854566932973,0.730672268907563,0.0695154914364787,0.710924369747899,0.0944671382244482,0.716470588235294,0.0889347581514863,0.71344537815126,0.0735868789703754,0.72781512605042,0.0709147775849224,0.710840336134454,0.100885027444928,0.698739495798319,0.0614579487066943,0.719243697478992,0.0887008747267274,0.704621848739496,0.0742885977360964,0.722352941176471,0.0851662235159965,0.71344537815126,0.0890068970058795,0.719495798319328,0.0942948844717781,0.725042016806723,0.0986072380415015,0.695882352941177,0.0720388603990269
69,F1,bupa,0.710504201680672,0.0808823226260144,0.707899159663866,0.0653222249447957,0.724957983193277,0.0696021223040685,0.716638655462185,0.0854904530615724,0.713697478991597,0.090144782462831,0.722268907563025,0.0730101714504942,0.730672268907563,0.069593328776623,0.716470588235294,0.0908325232377402,0.719075630252101,0.0529405095329472,0.719579831932773,0.0958237471781818,0.716302521008403,0.0855339455076073,0.713529411764706,0.0678790149554879,0.716386554621849,0.0839133125826398,0.725210084033613,0.0936345477910982,0.724873949579832,0.0842287184188912,0.71327731092437,0.0568203675345799
79,F1,bupa,0.718991596638656,0.0748053362757907,0.69890756302521,0.0591813181869864,0.707563025210084,0.0734823111782752,0.719411764705882,0.0820527025732626,0.713697478991597,0.0922526385409453,0.725210084033613,0.0752454157552081,0.72781512605042,0.0709147775849225,0.730840336134454,0.0751338100212703,0.716050420168067,0.061332961316391,0.713613445378151,0.0886339312117759,0.710420168067227,0.0828177208241208,0.727983193277311,0.0664309204185775,0.716386554621849,0.0827599557294724,0.727983193277311,0.0803233682217761,0.722016806722689,0.0964560447367091,0.716302521008403,0.0672247898831397
89,F1,bupa,0.736638655462185,0.0783985525569262,0.704789915966386,0.0565008283488685,0.713361344537815,0.0671865541920857,0.72218487394958,0.0716596470993342,0.71655462184874,0.0948790811069486,0.719327731092437,0.0703376906145935,0.722016806722689,0.0721426382625056,0.736470588235294,0.0701345967573207,0.710252100840336,0.068898225324371,0.719411764705882,0.0922138466515113,0.707731092436975,0.0910021913694578,0.725042016806723,0.0695431957207595,0.722268907563025,0.0905565894047935,0.727899159663866,0.0769883254360711,0.72218487394958,0.0957567030021422,0.710588235294118,0.0735902909238009
99,F1,bupa,0.742436974789916,0.0873430949324289,0.69890756302521,0.0445669619054354,0.722100840336134,0.0666243421893924,0.728067226890756,0.0776978504133424,0.719411764705882,0.0826937535209038,0.730840336134454,0.0732727814497103,0.719159663865546,0.077851800187854,0.733613445378151,0.0744086421792617,0.713109243697479,0.0581489936573438,0.722268907563025,0.0873143437007091,0.702016806722689,0.0883736410405305,0.72218487394958,0.0757910936245933,0.725042016806723,0.0804968135570368,0.727983193277311,0.0857207390331715,0.722100840336134,0.0869828410731138,0.710504201680672,0.0715007599187433
109,F1,bupa,0.730672268907563,0.0826964102172449,0.707731092436975,0.0520508178285728,0.713361344537815,0.0657403932750518,0.725126050420168,0.0755871336781318,0.713529411764706,0.0823676600349109,0.727983193277311,0.0705616085123219,0.722100840336134,0.0802813532853859,0.724873949579832,0.0788665398613301,0.721764705882353,0.0579817724017033,0.71655462184874,0.0909748121676132,0.707731092436975,0.0858741483543526,0.713613445378151,0.0802322265563465,0.719243697478992,0.0812947216490795,0.725210084033613,0.0917357324558769,0.742436974789916,0.0841057113681614,0.698823529411765,0.0669159475670186
119,F1,bupa,0.721932773109244,0.0829949346962977,0.71344537815126,0.0590073159325919,0.719159663865546,0.0623220028897517,0.725126050420168,0.0826045148459659,0.722268907563025,0.086519940836884,0.728067226890756,0.0776978504133424,0.724789915966386,0.0713887404735281,0.72781512605042,0.0774654911667963,0.724873949579832,0.0630721269505281,0.725294117647059,0.0850419891276623,0.704705882352941,0.0865969455866833,0.713529411764706,0.0806736791815729,0.727899159663866,0.0795141347591834,0.719327731092437,0.0958932810252794,0.727899159663866,0.0901428240231117,0.701848739495798,0.0714662393127094
129,F1,bupa,0.730756302521008,0.0846153533400138,0.701848739495798,0.0533285076554205,0.716302521008403,0.071536909107726,0.730924369747899,0.07014981004479,0.722268907563025,0.086519940836884,0.731008403361345,0.0821425407326489,0.724789915966386,0.0688793752553659,0.72218487394958,0.0764138265241021,0.719075630252101,0.062811402042445,0.722436974789916,0.0921028252936509,0.707647058823529,0.0818353463217591,0.713613445378151,0.0835549392032796,0.722100840336134,0.0757702304581323,0.719243697478992,0.0931670094212588,0.736638655462185,0.0935466875204012,0.707731092436975,0.0742765033940432
139,F1,bupa,0.730672268907563,0.0827618518604727,0.704705882352941,0.0568264431319793,0.716302521008403,0.067385666843508,0.72218487394958,0.0718105893550045,0.719327731092437,0.089798521866563,0.728067226890756,0.0847959816049069,0.72781512605042,0.0721824880120562,0.72218487394958,0.0787520455317752,0.721932773109244,0.0660250293912556,0.728151260504202,0.0862328922139446,0.71344537815126,0.0830587713838913,0.724957983193277,0.0657411093857386,0.710504201680672,0.0788825060721286,0.719159663865546,0.0904183284031125,0.72218487394958,0.0919486293950596,0.710588235294118,0.0763706881755873
149,F1,bupa,0.727731092436975,0.0807548985479828,0.698739495798319,0.0548465535311407,0.722268907563025,0.0738765979735277,0.727983193277311,0.0728647295031103,0.725126050420168,0.0810327400089241,0.733865546218487,0.0797498718245872,0.730588235294118,0.0698925300086231,0.719243697478992,0.0833665870614394,0.718991596638656,0.0660187901067629,0.722352941176471,0.0840300652845699,0.701848739495798,0.0801960344039695,0.722016806722689,0.0687408883542817,0.710588235294118,0.0831920512222319,0.719159663865546,0.0904183284031125,0.730756302521008,0.0881416069246876,0.719411764705882,0.0746943335340152
159,F1,bupa,0.72781512605042,0.0882797007103961,0.704705882352941,0.0568264431319793,0.719327731092437,0.0751755185060186,0.722268907563025,0.0660188495313012,0.72218487394958,0.0834914348926235,0.725042016806723,0.0720294384393152,0.733613445378151,0.0754744738672687,0.710588235294118,0.0863383299183005,0.727731092436975,0.0648566761230332,0.728151260504202,0.0796723058875047,0.710672268907563,0.085375881293482,0.716218487394958,0.0735784017137774,0.716470588235294,0.083744788432244,0.719243697478992,0.0931670094212588,0.733697478991597,0.0898740270613131,0.722268907563025,0.0787720193471047
169,F1,bupa,0.72781512605042,0.0870598419488431,0.704621848739496,0.057055254980136,0.722268907563025,0.0738765979735277,0.725042016806723,0.0694653022054887,0.725042016806723,0.0767607182322935,0.727899159663866,0.0708531775927682,0.72781512605042,0.0721824880120562,0.72218487394958,0.0866893153018526,0.721932773109244,0.0740285314046806,0.728151260504202,0.0796723058875047,0.707731092436975,0.0837996743714326,0.71344537815126,0.0724185799464823,0.719243697478992,0.0788259880683403,0.722100840336134,0.0963040119946566,0.736638655462185,0.0871640993101747,0.719327731092437,0.0799914863377794
179,F1,bupa,0.721848739495798,0.0786192228198694,0.704705882352941,0.05333645213676,0.725210084033613,0.0737370683866572,0.733613445378151,0.0693615343558298,0.725042016806723,0.0767607182322935,0.72218487394958,0.0716596470993342,0.730672268907563,0.0681982232463833,0.724957983193277,0.0794818112266911,0.719075630252101,0.0698912389836071,0.733949579831933,0.0827058502870028,0.710672268907563,0.085375881293482,0.719243697478992,0.0770541854023181,0.713361344537815,0.083160213746845,0.719243697478992,0.0931670094212588,0.733781512605042,0.0884371884314303,0.716302521008403,0.0778965357725813
189,F1,bupa,0.721848739495798,0.0773870043389243,0.704705882352941,0.05333645213676,0.719327731092437,0.0738858905773027,0.730756302521008,0.0654961622651098,0.725126050420168,0.0788996126928557,0.727899159663866,0.0707001913284566,0.733613445378151,0.0690486133529922,0.730756302521008,0.074562648432703,0.716134453781513,0.0796807256404457,0.73109243697479,0.0828573133105444,0.710672268907563,0.0875985651659542,0.719243697478992,0.0770541854023181,0.710504201680672,0.0836145010701481,0.719243697478992,0.0931670094212588,0.733781512605042,0.0798115851999159,0.716302521008403,0.0778965357725813
199,F1,bupa,0.730672268907563,0.0767356197742407,0.69890756302521,0.0646895707428316,0.719327731092437,0.0738858905773027,0.733781512605042,0.0699010614005438,0.725042016806723,0.0743599090380989,0.727899159663866,0.0680860137069072,0.730672268907563,0.0749143940454805,0.733613445378151,0.0731795062518858,0.719075630252101,0.0798029826125849,0.728235294117647,0.0839861677451101,0.710588235294118,0.0835168048319761,0.722100840336134,0.0798246102101426,0.710504201680672,0.0836145010701481,0.725042016806723,0.0934473261523708,0.727983193277311,0.0826819871252876,0.713361344537815,0.0788827050076407
average,F1,hill_valley_without_noise_traintest,0.635342094567132,0.0653014752178755,0.627312017341824,0.0565574196750892,0.633806394797453,0.060929297217051,0.63145305514158,0.0631280147918351,0.626730117870207,0.0577866758202016,0.629517003116109,0.0582230541738647,0.63024522422436,0.0572357084404273,0.635134466874407,0.0587335716221944,0.625380707221244,0.0646492789687776,0.631899810323804,0.0594235168548429,0.631917761820892,0.0606589192273289,0.633329833355914,0.0551479842634939,0.626397168405365,0.0551897284413137,0.630751253217721,0.0600090224979266,0.634099038070722,0.0611674014843685,0.629194892291017,0.0577357679710012
9,F1,hill_valley_without_noise_traintest,0.62451564828614,0.0433223515988551,0.615485706543829,0.0512763797338334,0.597317436661699,0.0603500607877977,0.617870207288985,0.079100575832022,0.61547215824414,0.0519945231782663,0.604741904890936,0.0466991894950628,0.594763582170438,0.0537081293228553,0.61707085760737,0.0538897876429813,0.613744750033871,0.0625873806469169,0.612139276520797,0.0443382605850665,0.614625389513616,0.05413335043408,0.607133179785937,0.0632797558768052,0.620457932529468,0.039914835564707,0.593178431106896,0.0576487293785759,0.614564422165018,0.0653708369293812,0.627821433410107,0.0630111534633674
19,F1,hill_valley_without_noise_traintest,0.615431513345075,0.0555155253233718,0.615404416745698,0.0592223026370069,0.615417965045387,0.0740583433857611,0.626127895949058,0.0723544774750988,0.628647879691099,0.0489818914754571,0.618703427719821,0.0578564222876763,0.628627557241566,0.0565715089886328,0.62451564828614,0.0447017982003179,0.613751524183715,0.0536735461279998,0.630287223953394,0.0494512737566919,0.624495325836608,0.0547401962144623,0.628647879691099,0.0539933357298263,0.611312830239805,0.0564448427020572,0.622808562525403,0.0693018480739721,0.63355913832814,0.0675647123410777,0.626182089147812,0.0508995317708176
29,F1,hill_valley_without_noise_traintest,0.62700176127896,0.0572112040608432,0.62034954613196,0.0572573365121989,0.625314997967755,0.0703025235860462,0.63439913290882,0.065313336530406,0.61707085760737,0.0597844026594045,0.618689879420133,0.058855234380362,0.629433681073025,0.0631659197425807,0.63439913290882,0.0472437259265689,0.614571196314862,0.062964750460239,0.624488551686763,0.0587684996226433,0.625314997967755,0.0572045520371643,0.631926568215689,0.0562000938753591,0.61791085218805,0.0489246654316278,0.618696653569977,0.0625738015204077,0.634412681208508,0.0604184361662231,0.624529196585829,0.0551001578070614
39,F1,hill_valley_without_noise_traintest,0.623689202005148,0.0666496057437793,0.626127895949058,0.0532638177238911,0.632725917897304,0.0633095681861335,0.625260804769001,0.0795877914103869,0.622022761143477,0.052538607192105,0.620363094431649,0.0493629530416819,0.625314997967755,0.0570717329068143,0.631106896084541,0.0482475815639471,0.617883755588674,0.0693354730048495,0.631899471616312,0.0566022318183748,0.617904078038206,0.061720888544053,0.628620783091722,0.0547018092382082,0.614625389513616,0.0529999529710338,0.627774014361198,0.0632333963754593,0.631933342365533,0.0635238149515742,0.635245901639344,0.0460681952612742
49,F1,hill_valley_without_noise_traintest,0.632773336946213,0.063093277480754,0.621148895813575,0.0591287459549368,0.637691369733098,0.0614403913792938,0.63851781601409,0.0667932304424972,0.626121121799214,0.0655273162757345,0.622009212843788,0.0502681929775854,0.632725917897304,0.0558866043808263,0.639323939845549,0.0575029703538252,0.612958948651944,0.0647370377454534,0.626100799349682,0.0633949221983899,0.626961116379894,0.0596337678815122,0.634392358758976,0.0624888097427591,0.626168540848124,0.0483972671079662,0.624475003387075,0.0597535248883753,0.627780788511042,0.0601234202785469,0.631913019916001,0.0551705148477851
59,F1,hill_valley_without_noise_traintest,0.636065573770492,0.0701038232240374,0.626947568080206,0.0465527323119776,0.638511041864246,0.0639255659156606,0.632732692047148,0.0663228455788762,0.625314997967755,0.0663945669538133,0.629433681073025,0.0552392131364212,0.627767240211353,0.0569429916809656,0.631079799485165,0.0565549064107237,0.619529874000813,0.0675116246810288,0.640143611976697,0.05857520667862,0.632746240346836,0.0624998955129674,0.631919794065845,0.0601501462666394,0.63028044980355,0.056928845421195,0.626947568080206,0.0650490225029688,0.630273675653706,0.0597042621394648,0.62779433681073,0.060312148478382
69,F1,hill_valley_without_noise_traintest,0.636871697601951,0.0689330189829991,0.625287901368378,0.0544814554635754,0.640983606557377,0.0604467681174586,0.628607234792034,0.0678882576062677,0.626974664679583,0.0600650471115188,0.634385584609132,0.057196229568011,0.635184934290747,0.0583188794351466,0.635225579189812,0.0581102281672549,0.623655331255927,0.0679214758293487,0.633518493429075,0.0706435825232711,0.633565912477984,0.0649008341328475,0.632725917897304,0.0606191334231289,0.627787562660886,0.0618314952712577,0.62944045522287,0.0693384291680124,0.638490719414713,0.0701011902770728,0.623662105405772,0.0573580890029697
79,F1,hill_valley_without_noise_traintest,0.640997154857065,0.0639272660062728,0.630226256604796,0.0570485422273129,0.639344262295082,0.0596197627656736,0.630266901503861,0.0634265289445887,0.624495325836608,0.0586124074110904,0.636858149302263,0.0592712093759566,0.637657498983877,0.0600687841805577,0.630287223953394,0.0521405203110337,0.627780788511042,0.0660193261742303,0.631045928735944,0.0685593887185078,0.635225579189812,0.0648084236938653,0.642636499119361,0.0596420387440913,0.631059477035632,0.0632253666911746,0.632739466196992,0.0547547012005395,0.637698143882943,0.0614051102819981,0.62779433681073,0.0547774737589915
89,F1,hill_valley_without_noise_traintest,0.648428397236147,0.0641210683223812,0.627753691911665,0.0589560751208956,0.641816826988213,0.0625042358670976,0.628600460642189,0.0617056198336522,0.622015986993632,0.0635501254467474,0.631906245766156,0.0605730541387571,0.640150386126541,0.0615848378189187,0.635212030890123,0.0592100137741494,0.629420132773337,0.0651378275581678,0.635191708440591,0.0598366027944955,0.636038477171115,0.0671197649897504,0.640184256875762,0.0533638328069185,0.629433681073025,0.0545525057751477,0.639330713995394,0.056544012659295,0.633565912477984,0.05940209771909,0.632739466196992,0.0562674626484718
99,F1,hill_valley_without_noise_traintest,0.643476493700041,0.0604265979401952,0.631872375016935,0.0599690459080491,0.643462945400352,0.053576676458426,0.632732692047148,0.0540966394284163,0.620369868581493,0.059747339824045,0.629420132773337,0.0612841848669874,0.629426906923181,0.0598879392523664,0.639330713995394,0.0649108088745639,0.631899471616312,0.0630744810937629,0.631899471616312,0.0586998353549929,0.629454003522558,0.0617580912685024,0.639344262295082,0.0527298226448258,0.63355913832814,0.0558755926535099,0.642609402519984,0.0655659461618532,0.639330713995394,0.06216961272353,0.627787562660886,0.0515282960953009
109,F1,hill_valley_without_noise_traintest,0.638504267714402,0.0690857915167941,0.63023303075464,0.055949768687976,0.639323939845549,0.0623165990517514,0.630260127354017,0.0616318462658041,0.626981438829427,0.0550327609380233,0.635205256740279,0.0600243742078361,0.630239804904485,0.0565975631744187,0.639351036444926,0.0572489941068455,0.634358488009755,0.0698499945880401,0.63271914374746,0.062842424992251,0.636031703021271,0.0641423915482399,0.633579460777672,0.0486597394147444,0.634378810459287,0.0641053504261777,0.638504267714402,0.0610211183271126,0.636031703021271,0.0609845947330026,0.625314997967755,0.0554530952748001
119,F1,hill_valley_without_noise_traintest,0.636851375152418,0.0667752506776128,0.63023303075464,0.0587291769799452,0.638497493564558,0.0648049575830023,0.632732692047148,0.0632680870848906,0.631113670234386,0.0541795664145178,0.630253353204173,0.0622783831898252,0.631059477035632,0.0540489625106096,0.636864923452107,0.0596282476351357,0.628593686492345,0.06681459563811,0.63107302533532,0.060604987518055,0.633579460777672,0.0606059802618306,0.62944045522287,0.0562967927161958,0.631093347784853,0.05485969223831,0.636851375152418,0.0626654451195621,0.637684595583254,0.0602182359525546,0.631093347784853,0.0547143888952183
129,F1,hill_valley_without_noise_traintest,0.63355913832814,0.0696590454138763,0.632705595447771,0.0572074536748613,0.635212030890123,0.0589867306801387,0.638511041864246,0.0587155170767665,0.63028044980355,0.055431900476896,0.631906245766156,0.0611962847861392,0.631892697466468,0.0550038812799915,0.636858149302263,0.0668601996937759,0.631899471616312,0.0642664059451464,0.634372036309443,0.06294047774697,0.631919794065845,0.0591321865113323,0.631100121934697,0.0534234580244814,0.631926568215689,0.0535637553572866,0.640157160276385,0.0589052569516771,0.635205256740279,0.0583661006536995,0.629426906923181,0.0595003162514153
139,F1,hill_valley_without_noise_traintest,0.636851375152418,0.0707502132047888,0.628580138192657,0.0575746278312363,0.638497493564558,0.0577454080472116,0.631906245766156,0.0607084176234869,0.633579460777672,0.0590590747302283,0.631086573635009,0.060159861979617,0.63271914374746,0.0575645165295715,0.636038477171115,0.068235622783259,0.629420132773337,0.0671985592017986,0.631906245766156,0.0604476369340515,0.631913019916001,0.0591659937733189,0.632759788646525,0.053679882008839,0.62779433681073,0.0540665741512215,0.631086573635009,0.0578446506710909,0.636031703021271,0.0594725472240586,0.631899471616312,0.0643805359370846
149,F1,hill_valley_without_noise_traintest,0.639330713995394,0.0709490849744185,0.63187914916678,0.0601678143465822,0.63767782143341,0.0578073593939776,0.638511041864246,0.0596134085847579,0.634412681208508,0.0582269500663379,0.634392358758976,0.0613779882963081,0.628573364042813,0.0606984322873336,0.640177482725918,0.0594669880041584,0.630239804904485,0.0646117719272527,0.633545590028451,0.0613626824567295,0.635218805039967,0.0599630803492409,0.636072347920336,0.0504227766205081,0.628614008941878,0.0554111305155813,0.635198482590435,0.0574817898353537,0.636871697601951,0.0581828032414594,0.628607234792034,0.062777226302504
159,F1,hill_valley_without_noise_traintest,0.640143611976697,0.0711080027802661,0.634365262159599,0.0575275018891955,0.635198482590435,0.0581381677265909,0.630253353204173,0.0571968000967107,0.629460777672402,0.0571156891356258,0.635212030890123,0.0613744788211772,0.633538815878607,0.055827818408527,0.636864923452107,0.0659056060061536,0.628593686492345,0.0611239568983178,0.635198482590435,0.0613086866825042,0.639323939845549,0.0636343158785378,0.636898794201328,0.0515322465727238,0.624495325836608,0.0551545402660154,0.634392358758976,0.0524530028438704,0.636045251320959,0.0578573035642112,0.632732692047148,0.0600787803871979
