n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,N1,bupa,0.721,0.0871655218601301,0.684857142857143,0.0646722627956168,0.728785714285714,0.0826184140012166,0.716756302521008,0.0732306783660044,0.719886554621849,0.0774693312946993,0.713760504201681,0.0788167487754367,0.713205882352941,0.0788869433716007,0.723852941176471,0.0752332611923288,0.719197478991597,0.0761700973321752,0.714243697478992,0.0824651113666262,0.722878151260504,0.0857319107088314,0.71577731092437,0.0707364124182487,0.727172268907563,0.0789937067746163,0.703327731092437,0.0756938877315355,0.719844537815126,0.0831340810857254,0.721021008403361,0.0866934458801622
9,N1,bupa,0.704873949579832,0.0749798781419642,0.684117647058824,0.0749606733092624,0.698991596638655,0.0749788316838059,0.698991596638655,0.051730256401634,0.696218487394958,0.086313834756914,0.681596638655462,0.0578652774686751,0.67546218487395,0.090501596453777,0.69890756302521,0.0808384628755825,0.687310924369748,0.0612279695203343,0.679075630252101,0.0841086966157094,0.704957983193277,0.0908405132017163,0.689831932773109,0.0623203032305248,0.715546218487395,0.0743139419352981,0.692773109243698,0.0705083804234566,0.681596638655462,0.104128954169447,0.701848739495798,0.0920923888793765
19,N1,bupa,0.719663865546219,0.107292201073845,0.678235294117647,0.0641957286264784,0.713613445378151,0.0961366411117571,0.710168067226891,0.0687804274546263,0.701848739495798,0.0872618033249144,0.719075630252101,0.066841859582903,0.693361344537815,0.0872929538314595,0.707478991596639,0.0704117775765265,0.696050420168067,0.067316758327433,0.687394957983193,0.0772520378178934,0.713613445378151,0.0885116830759751,0.715882352941177,0.0803442697926774,0.716050420168067,0.0681696846199541,0.684285714285714,0.0912443649505146,0.72218487394958,0.0755048238895232,0.716218487394958,0.0861398508932869
29,N1,bupa,0.71655462184874,0.096548124688459,0.690252100840336,0.0644966118860964,0.742689075630252,0.0974289127294645,0.716302521008403,0.0725703222998954,0.701932773109244,0.0792207673519707,0.696134453781513,0.0858425286950229,0.699075630252101,0.0893732585590549,0.724789915966386,0.0799240217791247,0.71344537815126,0.0679235610811324,0.70453781512605,0.064801244194283,0.722100840336134,0.0810032988074476,0.710336134453782,0.0709884280656945,0.719243697478992,0.0809610552378202,0.684033613445378,0.0772063190343158,0.707731092436975,0.100057496672022,0.710588235294118,0.0869631290757248
39,N1,bupa,0.713697478991597,0.0913827070248342,0.684705882352941,0.0808586005600486,0.719495798319328,0.0997913066884269,0.72218487394958,0.0812896543789304,0.699075630252101,0.0862749190575618,0.704621848739496,0.0735007280320397,0.704957983193277,0.0812927912976956,0.730504201680672,0.0687286169106167,0.719243697478992,0.0762773952223,0.698823529411765,0.0759555200742199,0.725210084033613,0.0900227992613692,0.707226890756303,0.0726902360080737,0.730924369747899,0.0776600730400233,0.713025210084034,0.071004121440629,0.728151260504202,0.0871542418598282,0.72218487394958,0.0925940436191545
49,N1,bupa,0.731008403361345,0.095480372341973,0.693193277310924,0.0801907998626761,0.725294117647059,0.0902173453014856,0.701764705882353,0.0755622165192927,0.716302521008403,0.0760855679131959,0.710336134453782,0.076637191412294,0.701932773109244,0.0696156486388955,0.724789915966386,0.0634789147147229,0.719411764705882,0.0923311931872453,0.707899159663866,0.0973462504556566,0.716638655462185,0.0970593692006924,0.710168067226891,0.0648705267041841,0.730840336134454,0.085815880546579,0.707394957983193,0.0766850401017373,0.725042016806723,0.080564041938028,0.728067226890756,0.0930766425210136
59,N1,bupa,0.728151260504202,0.0994032757408961,0.687394957983193,0.0696978209971847,0.728067226890756,0.0854798059701553,0.719159663865546,0.081271892309484,0.725294117647059,0.0826197112145901,0.724873949579832,0.0820467258036885,0.72218487394958,0.0702285084961764,0.724789915966386,0.0844055726873079,0.725210084033613,0.0844676001720125,0.71655462184874,0.0929474488101515,0.713697478991597,0.0921939339501809,0.713193277310924,0.0606066282101245,0.733781512605042,0.0798115851999159,0.689831932773109,0.0663805857213343,0.716218487394958,0.0742197023033488,0.722100840336134,0.101491865047603
69,N1,bupa,0.728067226890756,0.103398306646,0.693361344537815,0.0768870060771319,0.725210084033613,0.0832569148000056,0.725042016806723,0.0856939614504456,0.742689075630252,0.080910983570563,0.724705882352941,0.0707028547876046,0.716386554621849,0.0832816495801574,0.727731092436975,0.0762717888726923,0.728151260504202,0.0872783913421495,0.710672268907563,0.089282435266861,0.725210084033613,0.0882917430921459,0.713193277310924,0.0556458634065234,0.730924369747899,0.0810882521186428,0.713109243697479,0.0651538448565847,0.710504201680672,0.0848200825631134,0.739579831932773,0.087066150476317
79,N1,bupa,0.719327731092437,0.0926040422164523,0.681512605042017,0.0616271962804677,0.716386554621849,0.0841066442694023,0.707731092436975,0.0727480695175464,0.725294117647059,0.0801917783075739,0.719075630252101,0.0761039733858997,0.725126050420168,0.0825389484569643,0.724705882352941,0.0666621941394542,0.734033613445378,0.0875924741380779,0.704705882352941,0.0869089770260985,0.71655462184874,0.0843979496874594,0.724957983193277,0.0710458798667037,0.730840336134454,0.0826497158341508,0.701596638655462,0.082955218724321,0.713529411764706,0.0813921448608343,0.719243697478992,0.0952079784314115
89,N1,bupa,0.716386554621849,0.093714330256243,0.68436974789916,0.0579827873164045,0.725126050420168,0.0833712928162271,0.716218487394958,0.0630993028533036,0.722268907563025,0.0748777272769806,0.727647058823529,0.0705976273152436,0.713529411764706,0.0779078667235615,0.727647058823529,0.0743521530933493,0.736890756302521,0.0862976523218995,0.707394957983193,0.0850709088331271,0.72218487394958,0.071356804722305,0.727899159663866,0.0680860137069072,0.72781512605042,0.0762146217301208,0.716134453781513,0.0708110839163671,0.725210084033613,0.0888418968913506,0.725210084033613,0.0873823879490018
