n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,TD_U,bupa,0.718764705882353,0.0743379599065952,0.70396218487395,0.0846768352420016,0.704642857142857,0.0778439424698641,0.712638655462185,0.0898305591811553,0.721067226890756,0.0779652666925176,0.710680672268907,0.0788430011917423,0.718201680672269,0.0788322434420168,0.718584033613445,0.0724733726695516,0.720340336134454,0.0842205625089844,0.708243697478992,0.0952673807297583,0.711810924369748,0.0712037059826875,0.717331932773109,0.0829607974116732,0.72459243697479,0.0824038465308307,0.737159663865546,0.0820235221585235,0.714483193277311,0.0871336437596934,0.707243697478992,0.0820861191297262
9,TD_U,bupa,0.69890756302521,0.0688461045413801,0.686806722689076,0.063962590283466,0.707394957983193,0.0740628111966719,0.689915966386555,0.110379074478362,0.698991596638655,0.0783861414194585,0.684201680672269,0.0678470462203712,0.713529411764706,0.0856075294977113,0.663865546218487,0.0465390799460843,0.701596638655462,0.0457079861919794,0.658319327731092,0.0759988940800325,0.686890756302521,0.0810237828809377,0.681596638655462,0.0747678289651505,0.702268907563025,0.102139967834397,0.721680672268908,0.0702068305124268,0.690588235294118,0.0786010569421414,0.687058823529412,0.0961271732044236
19,TD_U,bupa,0.707647058823529,0.0606252679204029,0.698991596638655,0.094672732859094,0.687478991596639,0.0716434949667475,0.692941176470588,0.0799789299749081,0.716386554621849,0.0819214002497306,0.695714285714286,0.0610315872949528,0.716302521008403,0.0939801583472125,0.690084033613445,0.0880994018245341,0.721932773109244,0.0643007555803243,0.675714285714286,0.0857888125499573,0.684453781512605,0.0716388950493103,0.687310924369748,0.0642909928689717,0.72218487394958,0.0619094513858093,0.716218487394958,0.0800974012590656,0.687647058823529,0.0733081103520072,0.701932773109244,0.0707537187008131
29,TD_U,bupa,0.710504201680672,0.0660687472643409,0.684117647058824,0.107829276274642,0.693109243697479,0.0648213407195589,0.725042016806723,0.0885834578670391,0.730756302521008,0.0705895691483953,0.710168067226891,0.075444787640228,0.710336134453782,0.0700090170318839,0.725042016806723,0.087661913618981,0.713025210084034,0.0878134507231665,0.710336134453782,0.0773931381966145,0.707394957983193,0.0850072448038298,0.724957983193277,0.0750669446250004,0.716302521008403,0.0698711969713952,0.716050420168067,0.066987728179155,0.687647058823529,0.0786531977137382,0.69890756302521,0.0865795926377857
39,TD_U,bupa,0.719327731092437,0.0736657399659651,0.70436974789916,0.101874405495458,0.707394957983193,0.0729021396614548,0.716218487394958,0.0924760548914761,0.722100840336134,0.0636736637839701,0.698487394957983,0.06443892205306,0.71344537815126,0.0745192807940894,0.710504201680672,0.073627652125822,0.72781512605042,0.0780748700476453,0.704621848739496,0.0704538870891077,0.710336134453782,0.0551714787424677,0.710504201680672,0.0871191240719543,0.730672268907563,0.0667739762011814,0.727731092436975,0.0922866105786897,0.70218487394958,0.0867363678874082,0.687394957983193,0.0773920736776655
49,TD_U,bupa,0.719327731092437,0.0657004577569407,0.692857142857143,0.105030624965842,0.698991596638655,0.0788681316535599,0.719327731092437,0.0965545852805805,0.722100840336134,0.0651657058269275,0.701512605042017,0.0806448366057157,0.698991596638655,0.0856802261104677,0.719411764705882,0.0804701502421412,0.707478991596639,0.0832563964688718,0.701596638655462,0.0878377510067639,0.716218487394958,0.0805019307333165,0.727899159663866,0.0818299289895866,0.719075630252101,0.0783823876642512,0.742352941176471,0.0739147698394402,0.696302521008403,0.0893344020599649,0.701512605042017,0.0884123429348403
59,TD_U,bupa,0.733613445378151,0.0677222645093872,0.707226890756303,0.0794868950348369,0.684285714285714,0.0728464211324157,0.727983193277311,0.105179778943831,0.716218487394958,0.069002064506211,0.710420168067227,0.091278024568605,0.707647058823529,0.0830667534240133,0.716302521008403,0.0711575017964171,0.704705882352941,0.0945486662514066,0.707563025210084,0.0974065218880141,0.704453781512605,0.0726900740960013,0.719075630252101,0.0807976869003324,0.725042016806723,0.0799569515951455,0.742352941176471,0.0937745513783047,0.710840336134454,0.0989746886018279,0.701764705882353,0.0817413310822771
69,TD_U,bupa,0.722016806722689,0.064157032984117,0.698655462184874,0.0674485142443529,0.701596638655462,0.0777142586561682,0.719243697478992,0.107923830264231,0.730672268907563,0.0746972747396688,0.716218487394958,0.0860140580998579,0.72781512605042,0.0682295099497264,0.725126050420168,0.0727023783858316,0.721848739495798,0.0812276633356115,0.704621848739496,0.0971421544370889,0.721932773109244,0.0743204877820224,0.716218487394958,0.0825936857275599,0.736638655462185,0.0813976877236696,0.733529411764706,0.084425277740715,0.713781512605042,0.110209193217468,0.69890756302521,0.0882829003226118
79,TD_U,bupa,0.733697478991597,0.0788667885809838,0.701596638655462,0.0708051555601985,0.692857142857143,0.073169051596256,0.722268907563025,0.0959425667161885,0.730756302521008,0.0708192830677072,0.710420168067227,0.0896316525625829,0.722016806722689,0.0746873477063815,0.719243697478992,0.0723984789422827,0.71890756302521,0.0846311621147395,0.71344537815126,0.0973186807614654,0.722016806722689,0.0798047032042367,0.722016806722689,0.0907578586856937,0.730840336134454,0.0764023766944454,0.736470588235294,0.0838655649300447,0.719495798319328,0.0914228385636059,0.704621848739496,0.085013198026612
89,TD_U,bupa,0.730756302521008,0.078126859839454,0.701428571428571,0.0917990465289509,0.695714285714286,0.0720954751311502,0.719327731092437,0.0887217040704923,0.719075630252101,0.0763879977964187,0.719075630252101,0.0875215003574422,0.719159663865546,0.0731170778291849,0.719327731092437,0.0758033085946283,0.730504201680672,0.0890924089688651,0.716386554621849,0.104284664706695,0.713361344537815,0.0701438257996613,0.710168067226891,0.07329676413676,0.727983193277311,0.078774808304835,0.747983193277311,0.0730780598250787,0.719495798319328,0.0901254137996359,0.698823529411765,0.0886077240809221
99,TD_U,bupa,0.733781512605042,0.081788687978734,0.718991596638656,0.0869414723033483,0.695714285714286,0.0818727305193806,0.716470588235294,0.0883390080070162,0.730756302521008,0.0724632048193811,0.707563025210084,0.0872296072791122,0.71344537815126,0.0694802103285669,0.722100840336134,0.0764639699170674,0.722016806722689,0.0896925590947473,0.716302521008403,0.102668000117288,0.707394957983193,0.0771776547926728,0.71890756302521,0.0805664280014004,0.719243697478992,0.083496368540102,0.742100840336134,0.0797069639590597,0.719495798319328,0.0901254137996359,0.71327731092437,0.0861068252927021
109,TD_U,bupa,0.710336134453782,0.0759987392169153,0.713109243697479,0.0887917184988786,0.698571428571429,0.0841670742253257,0.716470588235294,0.0883390080070162,0.72781512605042,0.0827383367647385,0.710336134453782,0.080698573753711,0.72218487394958,0.0755764929799201,0.722100840336134,0.0789379896372677,0.727731092436975,0.0909566554290303,0.719411764705882,0.104892479928197,0.721932773109244,0.0703337304244197,0.716134453781513,0.0798843014631532,0.724957983193277,0.0806820430586817,0.742100840336134,0.0797069639590597,0.707731092436975,0.0891080398380088,0.719075630252101,0.0821765389047246
119,TD_U,bupa,0.719159663865546,0.0728946053464255,0.712941176470588,0.0884464149811369,0.707310924369748,0.0774194930448281,0.704873949579832,0.0884948385848072,0.727899159663866,0.0879380525345579,0.710336134453782,0.0786940878130235,0.730840336134454,0.0825841853317564,0.722016806722689,0.0759633705391061,0.721932773109244,0.087813629426263,0.713697478991597,0.10674294197501,0.721932773109244,0.061590836152218,0.730588235294118,0.0880774899401899,0.719327731092437,0.0956105749538893,0.739411764705882,0.0873154220427522,0.716386554621849,0.0884987840294667,0.710252100840336,0.0904139894244059
129,TD_U,bupa,0.713361344537815,0.0721607446282572,0.707142857142857,0.0772726024455119,0.710168067226891,0.0815000423482166,0.713613445378151,0.0856985394078975,0.719159663865546,0.0822650496134548,0.716134453781513,0.0808110384432695,0.719243697478992,0.0716653952850081,0.718991596638656,0.0736563663249723,0.719075630252101,0.0851697704071732,0.716554621848739,0.0983125840617041,0.724873949579832,0.0629862313327885,0.727731092436975,0.0860149246935976,0.724957983193277,0.0806820430586817,0.742352941176471,0.0853079841359149,0.727983193277311,0.0777542297813043,0.721932773109244,0.0813805759310131
139,TD_U,bupa,0.716302521008403,0.0760855679131959,0.713025210084034,0.0793763105141633,0.718739495798319,0.0686486561876852,0.710672268907563,0.0830937638703623,0.71344537815126,0.083254087500071,0.707647058823529,0.0944309594260564,0.719243697478992,0.0811614196948855,0.719243697478992,0.065919178812043,0.72781512605042,0.0840695068068719,0.719327731092437,0.102775548457006,0.716302521008403,0.0629613121464401,0.721932773109244,0.0893267165698625,0.724957983193277,0.0759811860186489,0.745210084033613,0.0756943394824373,0.719243697478992,0.0788259880683403,0.716302521008403,0.0754601261159153
149,TD_U,bupa,0.719243697478992,0.0808941568017455,0.715966386554622,0.0784103613312788,0.713109243697479,0.0784635788217431,0.704957983193277,0.0952063301780166,0.719243697478992,0.0852769366311431,0.710504201680672,0.0890555885351155,0.719159663865546,0.0779213106476369,0.724873949579832,0.0640730816410075,0.719075630252101,0.0913363299315243,0.719327731092437,0.102775548457006,0.716302521008403,0.0751725960121499,0.721932773109244,0.0891447065814038,0.719159663865546,0.0891670161735692,0.736386554621849,0.0782681875809341,0.725042016806723,0.0835502437919078,0.713361344537815,0.0739214041052256
159,TD_U,bupa,0.713361344537815,0.0781240979673148,0.713109243697479,0.080136722218314,0.710252100840336,0.0844850618660287,0.716470588235294,0.0757848818678239,0.716386554621849,0.0813408434160407,0.716386554621849,0.0798120275936235,0.71344537815126,0.0795113717342288,0.72781512605042,0.0695461855436473,0.721932773109244,0.0908595135364914,0.719411764705882,0.0995690562943003,0.707478991596639,0.0700262744882683,0.72781512605042,0.08571195141546,0.730756302521008,0.0804152847396371,0.739327731092437,0.090557932392348,0.722100840336134,0.0849991680599247,0.71344537815126,0.0821573927883417
169,TD_U,bupa,0.716302521008403,0.0819615693129626,0.707226890756303,0.0828395085050244,0.71890756302521,0.0814189398995866,0.716554621848739,0.0791157119364594,0.719159663865546,0.0774506511458347,0.716470588235294,0.081549848547855,0.722100840336134,0.0772388837412481,0.724873949579832,0.0670061736220656,0.724873949579832,0.0854256321211172,0.716386554621849,0.0971332692130296,0.707394957983193,0.0648431250940037,0.721932773109244,0.0814470748364812,0.724957983193277,0.0937802827143433,0.736470588235294,0.0878393142139556,0.733781512605042,0.0875293443542032,0.710420168067227,0.0785215567943194
179,TD_U,bupa,0.719243697478992,0.0808941568017455,0.698655462184874,0.0842603849623843,0.716050420168067,0.087447418356711,0.710672268907563,0.0770934810013502,0.722100840336134,0.0868112826379312,0.724957983193277,0.062835131983059,0.722100840336134,0.0760555012205063,0.733613445378151,0.0715520435543126,0.718991596638656,0.0917889175024314,0.713529411764706,0.103869421482736,0.713193277310924,0.069082751955216,0.721932773109244,0.0914534297095945,0.730840336134454,0.0891733956025198,0.745210084033613,0.0804119672250647,0.733781512605042,0.0875293443542032,0.716218487394958,0.0745109096188046
189,TD_U,bupa,0.716218487394958,0.0812885443632949,0.701512605042017,0.0820759839165754,0.716218487394958,0.0868754309619778,0.704957983193277,0.0889429185965917,0.719159663865546,0.0834252488408142,0.722100840336134,0.0723145470722981,0.724957983193277,0.0823920427760985,0.733613445378151,0.0660423180420239,0.721932773109244,0.08859643314762,0.704789915966386,0.0977499132870756,0.719075630252101,0.0708722776558743,0.716134453781513,0.0928619380149433,0.730756302521008,0.0884481892072759,0.742268907563025,0.085817709157349,0.731008403361345,0.0873037392945169,0.716302521008403,0.0778270031853537
199,TD_U,bupa,0.72218487394958,0.0808890644383407,0.701512605042017,0.0820759839165754,0.718991596638656,0.0864572984518146,0.704789915966386,0.0807627196786563,0.719159663865546,0.0856985394078975,0.724957983193277,0.0655761979849067,0.728067226890756,0.0941611544098103,0.733529411764706,0.0718469102807974,0.733613445378151,0.0900489430938081,0.713529411764706,0.0952343466060741,0.71327731092437,0.0687249065079144,0.721848739495798,0.0842061720363686,0.730924369747899,0.0950317421741356,0.747983193277311,0.0912068647786747,0.725126050420168,0.0900833106845582,0.713361344537815,0.0763360057657675
average,TD_U,hill_valley_without_noise_traintest,0.606163121528248,0.0586182824854958,0.622206679311746,0.0559849401213508,0.621209524454681,0.060270801747267,0.628187576209186,0.0484587852932319,0.625652689337488,0.0605057178117135,0.624254843517139,0.0563443010575416,0.625476900149031,0.0558449948226843,0.623925281127219,0.058091327768427,0.630724834033329,0.0599640678588854,0.619962064760873,0.0575984482136837,0.632195163257011,0.0629791736980942,0.633817910852188,0.0624399928143881,0.624775098225173,0.0595726670732882,0.622804836742989,0.0545029163021073,0.632171792440049,0.0550214701931772,0.632215146999052,0.0578068707929901
9,TD_U,hill_valley_without_noise_traintest,0.598130334643002,0.0468710602578636,0.600643544235199,0.0588165626864895,0.598936458474461,0.0619706432829429,0.601463216366346,0.0432117939482357,0.612132502370953,0.0569434716240825,0.612125728221108,0.0642674559794165,0.609700582576887,0.0476269273940264,0.593171656957052,0.0550019364263944,0.592372307275437,0.0478899464288183,0.6129521745021,0.0464970394750607,0.617097954206747,0.0543665955014752,0.622002438693944,0.0661927151234111,0.612159598970329,0.0372789213573379,0.607139953935781,0.050010450967496,0.602174502099986,0.054398481138001,0.599769678905297,0.0622539235378045
19,TD_U,hill_valley_without_noise_traintest,0.607180598834846,0.0452806165476573,0.62291694892291,0.0441977069187713,0.612958948651944,0.0560545265861001,0.598116786343314,0.0490525083359593,0.634419455358353,0.058594895552284,0.607959626066929,0.0594566638297066,0.619584067199567,0.0528832795849821,0.612999593551009,0.060226289400601,0.620417287630402,0.052214779053965,0.615424739195231,0.0548529223634049,0.630239804904485,0.0707513835709822,0.619570518899878,0.0555948997414128,0.615458609944452,0.0413721979489213,0.620369868581493,0.0502240710996577,0.615424739195231,0.0449861635145837,0.611333152689338,0.0465271315084657
29,TD_U,hill_valley_without_noise_traintest,0.60474867904078,0.0500964556537993,0.613826039832001,0.0549709916731705,0.622876304023845,0.0603422642554628,0.598089689743937,0.0568265445688192,0.618730524319198,0.0596809568466063,0.627787562660886,0.0533738070508985,0.628614008941878,0.0543528729746041,0.622842433274624,0.0624748370352353,0.622022761143477,0.0576901319232505,0.617897303888362,0.0500843032405158,0.632753014496681,0.0666888057845028,0.636045251320959,0.0596654058121099,0.607173824685002,0.0482586898628256,0.621209863162173,0.0506597524225287,0.629460777672402,0.0543614863050818,0.626967890529739,0.0552438281338989
39,TD_U,hill_valley_without_noise_traintest,0.610499932258502,0.0531107345205941,0.620390191031026,0.0566785272572779,0.625362417016664,0.0585020276516654,0.618744072618886,0.0437463532656455,0.636038477171115,0.0639786868392612,0.60878607234792,0.0604631609189807,0.633572686627828,0.0504480984850344,0.62123695976155,0.0450835271237131,0.626154992548435,0.0592633289871539,0.626148218398591,0.0560717115340474,0.632766562796369,0.0601499958037833,0.63772524048232,0.0578353593091598,0.617876981438829,0.0589577874900982,0.627774014361198,0.059903309948482,0.63851781601409,0.0567053289439053,0.636072347920336,0.0490343441274647
49,TD_U,hill_valley_without_noise_traintest,0.61051348055819,0.0530180914727921,0.61379216908278,0.0556362685833543,0.627807885110419,0.0564648319475249,0.623702750304837,0.0457794269842675,0.626981438829427,0.0606734050326411,0.622862755724157,0.039645287792804,0.631926568215689,0.0566502498831439,0.623695976154993,0.0556945261777237,0.62700176127896,0.0587814493826252,0.621216637312017,0.055071270903062,0.63107302533532,0.0696733556650821,0.630287223953394,0.0592525734905046,0.626141444248747,0.0641802025680863,0.626961116379894,0.0598939548605438,0.629454003522558,0.0537350514066037,0.632753014496681,0.0509477325215214
59,TD_U,hill_valley_without_noise_traintest,0.612972496951633,0.0602935366599025,0.619577293049722,0.0610511800272471,0.626148218398591,0.0598619884202759,0.627821433410107,0.0431352847161725,0.626141444248747,0.0579671852204855,0.627787562660886,0.0535505216920196,0.622842433274624,0.0556211395915883,0.622883078173689,0.0525141933532804,0.628620783091722,0.0636574842199692,0.621203089012329,0.0614008151327288,0.636052025470803,0.0558165484417819,0.632759788646525,0.0594469446910703,0.628600460642189,0.0662200410784987,0.628620783091722,0.0531305098559999,0.636058799620648,0.0516794505198634,0.630253353204173,0.0644114025682464
69,TD_U,hill_valley_without_noise_traintest,0.606367700853543,0.0481023874647394,0.622855981574312,0.0600814791414932,0.626161766698279,0.0523482818985832,0.632759788646525,0.050464054915368,0.626967890529739,0.0630693525480251,0.615424739195231,0.0499427200713324,0.626974664679583,0.0535171385819564,0.622029535293321,0.0601880085586493,0.631127218534074,0.0565765312594217,0.623648557106083,0.0653364327415285,0.631892697466468,0.0676228318284972,0.628614008941878,0.0597766871642549,0.631913019916001,0.0624118964270239,0.621175992412952,0.060903804064215,0.63112044438423,0.0542850254710635,0.632739466196992,0.0634837500861513
