n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
average,kDN,bupa,0.702067226890756,0.084025432514982,0.691529411764706,0.0775824565930538,0.73072268907563,0.0751447303138897,0.745147058823529,0.079844184571018,0.731840336134454,0.08623310381068,0.725306722689076,0.0759804236872949,0.713281512605042,0.0841531177884709,0.721323529411765,0.0735426277977834,0.716621848739496,0.0845962674126577,0.726109243697479,0.0663842244970518,0.717600840336135,0.0858979772442625,0.735113445378151,0.082198322320637,0.73722268907563,0.0826379713516065,0.72481512605042,0.0734017436931371,0.712411764705882,0.0770078886497757,0.72727731092437,0.0684152318179332
9,kDN,bupa,0.707394957983193,0.0832859361950549,0.672689075630252,0.0627604147971734,0.698823529411765,0.0771404363835002,0.690168067226891,0.0737711645361794,0.699075630252101,0.0851535548414818,0.701596638655462,0.0737641444647943,0.695882352941177,0.0753094659726754,0.698655462184874,0.087430144464504,0.695882352941177,0.0797109014227794,0.675294117647059,0.0744520742638641,0.687226890756303,0.0803924496622587,0.707394957983193,0.061719814475624,0.719327731092437,0.0933466822564901,0.67546218487395,0.0865875219623695,0.692773109243698,0.081978799110008,0.71,0.0373137211794857
19,kDN,bupa,0.716050420168067,0.100296893890212,0.687394957983193,0.0624228921992374,0.721932773109244,0.0831904006896871,0.74563025210084,0.101952357517997,0.716134453781513,0.0872240302203083,0.724789915966386,0.0727226651233599,0.669747899159664,0.0817216989563633,0.701764705882353,0.0843015802228014,0.684873949579832,0.113373079289279,0.698823529411765,0.0799328076618854,0.690336134453781,0.090750466665778,0.710504201680672,0.0786074953296151,0.742436974789916,0.091860736802126,0.704789915966386,0.0743570072487271,0.707394957983193,0.0790837216331165,0.721848739495798,0.0520827654560289
29,kDN,bupa,0.701512605042017,0.0893718099758723,0.690084033613445,0.0793689459155901,0.739495798319328,0.0812933221488956,0.757142857142857,0.0997529294077965,0.716386554621849,0.0804036240467371,0.724789915966386,0.0643895282302546,0.69563025210084,0.0904365498403964,0.707394957983193,0.0802224465036805,0.693613445378151,0.108996488231135,0.710084033613445,0.0728894385088654,0.698823529411765,0.0751851201860417,0.710588235294118,0.087072233266369,0.742436974789916,0.0679561865892258,0.701596638655462,0.0612728050983356,0.707563025210084,0.0914719167313255,0.730756302521008,0.065164682376527
39,kDN,bupa,0.70453781512605,0.0802560848830937,0.681428571428571,0.0813420009481647,0.710504201680672,0.0885067630428993,0.745546218487395,0.0834243083197965,0.727899159663866,0.0718210778842813,0.724957983193277,0.0743422327467571,0.701596638655462,0.0833458785839819,0.704705882352941,0.0931204677274571,0.699159663865546,0.0871765208107389,0.727899159663866,0.0769883254360711,0.710672268907563,0.0895246596720991,0.727731092436975,0.0766258773562853,0.762857142857143,0.0880860415679531,0.704705882352941,0.0773486693878711,0.710420168067227,0.0889647496201934,0.719243697478992,0.064946682304352
49,kDN,bupa,0.710336134453782,0.0783493468635439,0.678739495798319,0.081216119280938,0.730756302521008,0.0717876403546718,0.748403361344538,0.0814843964396706,0.724957983193277,0.088736781287175,0.733781512605042,0.0768036375126878,0.71344537815126,0.0839504724097796,0.71327731092437,0.0701095323816182,0.710672268907563,0.0853124448488187,0.730420168067227,0.0607265858133381,0.713781512605042,0.0941086430266848,0.748151260504202,0.08068107055938,0.745294117647059,0.0807242382403647,0.710336134453782,0.0772531042664844,0.693025210084034,0.0817399872240081,0.716302521008403,0.0738096035377667
59,kDN,bupa,0.70436974789916,0.0767239111684657,0.69,0.0818976438372742,0.718991596638656,0.0843971594590654,0.759831932773109,0.0784951721305171,0.724957983193277,0.0877703726668192,0.722016806722689,0.0607317538574832,0.713529411764706,0.0999913294893906,0.713361344537815,0.0668634550556739,0.707899159663866,0.0892799306085226,0.733445378151261,0.0684228356506895,0.722436974789916,0.0959612109648436,0.748235294117647,0.0827580121501106,0.730672268907563,0.0744795225002524,0.721932773109244,0.0713086817216712,0.719075630252101,0.087645129618991,0.727647058823529,0.0632550431206245
69,kDN,bupa,0.710168067226891,0.066253989544554,0.681512605042017,0.0834771491642866,0.736470588235294,0.0739858581753486,0.762773109243697,0.0848393214065961,0.73655462184874,0.0901693246331739,0.72781512605042,0.0666436534909382,0.71344537815126,0.0816285140458282,0.718991596638656,0.0696315950661459,0.722268907563025,0.0852749124013524,0.727563025210084,0.0509030718483594,0.710840336134454,0.100521945228055,0.745294117647059,0.0813921448608342,0.730672268907563,0.0691249900316464,0.724705882352941,0.0680092201335811,0.713361344537815,0.0940104181082975,0.721932773109244,0.0724201509489054
79,kDN,bupa,0.713109243697479,0.065236886499525,0.693109243697479,0.0859253000253266,0.736470588235294,0.066222895102775,0.751008403361345,0.0801718156687179,0.724957983193277,0.0790720630345474,0.736554621848739,0.0694398267576307,0.710420168067227,0.0849799192391075,0.730588235294118,0.0682660121370124,0.722268907563025,0.080774571377259,0.730588235294118,0.0618790268065407,0.725210084033613,0.0896761114080947,0.742436974789916,0.08661148676396,0.73672268907563,0.0811339593650815,0.727647058823529,0.07778691815196,0.716134453781513,0.0808780056309228,0.721932773109244,0.0710805494296059
89,kDN,bupa,0.695714285714286,0.0847490089997401,0.687226890756303,0.0833198444936001,0.72781512605042,0.0773255882654702,0.76563025210084,0.084574774782797,0.745210084033613,0.0856142658044731,0.722016806722689,0.0741781968203732,0.70781512605042,0.0865206663337156,0.724705882352941,0.0703189474632347,0.719243697478992,0.0702343738104987,0.733361344537815,0.0600251420461401,0.728067226890756,0.0845402096881464,0.748151260504202,0.0850591484166994,0.731008403361345,0.0870553355779014,0.727563025210084,0.0815292560505159,0.707394957983193,0.0676629183814579,0.730672268907563,0.0696710791560395
