n_ensemble,weights,dataset,accuracy_mean,accuracy_std
average,Uniform,bupa,0.705987394957983,0.0838558061204043
9,Uniform,bupa,0.710336134453782,0.0492329092748319
19,Uniform,bupa,0.672689075630252,0.0801524354116322
29,Uniform,bupa,0.69,0.0773408073615125
39,Uniform,bupa,0.689831932773109,0.0818017818544719
49,Uniform,bupa,0.698571428571429,0.0769406653572084
59,Uniform,bupa,0.704453781512605,0.0929288753777804
69,Uniform,bupa,0.704453781512605,0.0897723488065019
79,Uniform,bupa,0.707394957983193,0.0859417351681817
89,Uniform,bupa,0.704621848739496,0.0880944587657521
99,Uniform,bupa,0.707478991596639,0.0889632061884683
109,Uniform,bupa,0.707478991596639,0.0931846933799877
119,Uniform,bupa,0.701596638655462,0.0866741535010448
129,Uniform,bupa,0.71327731092437,0.0880040542912835
139,Uniform,bupa,0.710336134453782,0.0865741549669016
149,Uniform,bupa,0.719075630252101,0.0907563457481655
159,Uniform,bupa,0.716218487394958,0.0848892480503752
169,Uniform,bupa,0.716218487394958,0.0848892480503752
179,Uniform,bupa,0.716218487394958,0.0848892480503752
189,Uniform,bupa,0.71327731092437,0.0846641146115661
199,Uniform,bupa,0.716218487394958,0.0814216381916708
average,Uniform,hill_valley_without_noise_traintest,0.627705256740279,0.0613345939645577
9,Uniform,hill_valley_without_noise_traintest,0.602215146999052,0.0713438765819177
19,Uniform,hill_valley_without_noise_traintest,0.610445739059748,0.0656674484190571
29,Uniform,hill_valley_without_noise_traintest,0.620390191031026,0.060393324539878
39,Uniform,hill_valley_without_noise_traintest,0.624481777536919,0.0643631873261106
49,Uniform,hill_valley_without_noise_traintest,0.620376642731337,0.0584391091826191
59,Uniform,hill_valley_without_noise_traintest,0.623695976154993,0.0558306217316899
69,Uniform,hill_valley_without_noise_traintest,0.626175314997968,0.0537033514986777
79,Uniform,hill_valley_without_noise_traintest,0.63355913832814,0.0609509479312891
89,Uniform,hill_valley_without_noise_traintest,0.632732692047148,0.0594500872362918
99,Uniform,hill_valley_without_noise_traintest,0.631093347784853,0.0588467987801782
109,Uniform,hill_valley_without_noise_traintest,0.631913019916001,0.058779933555821
119,Uniform,hill_valley_without_noise_traintest,0.631093347784853,0.059120929370491
129,Uniform,hill_valley_without_noise_traintest,0.636038477171115,0.060079583236835
139,Uniform,hill_valley_without_noise_traintest,0.631066251185476,0.0670546004978643
149,Uniform,hill_valley_without_noise_traintest,0.630253353204173,0.0617890338619657
159,Uniform,hill_valley_without_noise_traintest,0.631079799485165,0.0644567783606721
169,Uniform,hill_valley_without_noise_traintest,0.634385584609132,0.0612891811858023
179,Uniform,hill_valley_without_noise_traintest,0.636851375152418,0.0615718988214498
189,Uniform,hill_valley_without_noise_traintest,0.635198482590435,0.0604441868993558
199,Uniform,hill_valley_without_noise_traintest,0.631059477035632,0.063117000273188
average,Uniform,contraceptive_NS,0.652280701754386,0.047387422829573
9,Uniform,contraceptive_NS,0.656140350877193,0.0614452656681342
19,Uniform,contraceptive_NS,0.66140350877193,0.0487874938353548
29,Uniform,contraceptive_NS,0.648245614035088,0.051390500586141
39,Uniform,contraceptive_NS,0.655263157894737,0.0521501700014702
49,Uniform,contraceptive_NS,0.646491228070175,0.0587784756763191
59,Uniform,contraceptive_NS,0.65,0.0592709604226823
69,Uniform,contraceptive_NS,0.648245614035088,0.047229237434489
79,Uniform,contraceptive_NS,0.656140350877193,0.044305723800879
89,Uniform,contraceptive_NS,0.652631578947368,0.0493104186756322
99,Uniform,contraceptive_NS,0.655263157894737,0.0476975784763809
109,Uniform,contraceptive_NS,0.660526315789474,0.0443539398602018
119,Uniform,contraceptive_NS,0.656140350877193,0.0458234807582683
129,Uniform,contraceptive_NS,0.655263157894737,0.0469751197855706
139,Uniform,contraceptive_NS,0.65,0.0408206403807982
149,Uniform,contraceptive_NS,0.651754385964912,0.0367654451672512
159,Uniform,contraceptive_NS,0.653508771929825,0.0403572331632814
169,Uniform,contraceptive_NS,0.65,0.0410295498331252
179,Uniform,contraceptive_NS,0.646491228070175,0.0433794373991888
189,Uniform,contraceptive_NS,0.646491228070175,0.045870101464963
199,Uniform,contraceptive_NS,0.645614035087719,0.0420076842013285
average,Uniform,teaching_assistant_LM,0.628777777777778,0.117663985157303
9,Uniform,teaching_assistant_LM,0.654444444444444,0.135218159347345
19,Uniform,teaching_assistant_LM,0.644444444444444,0.117588947158426
29,Uniform,teaching_assistant_LM,0.615555555555556,0.115256022043466
39,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
49,Uniform,teaching_assistant_LM,0.626666666666667,0.11417984514369
59,Uniform,teaching_assistant_LM,0.636666666666667,0.11595018087284
69,Uniform,teaching_assistant_LM,0.636666666666667,0.11595018087284
79,Uniform,teaching_assistant_LM,0.636666666666667,0.11595018087284
89,Uniform,teaching_assistant_LM,0.636666666666667,0.11595018087284
99,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
109,Uniform,teaching_assistant_LM,0.626666666666667,0.11417984514369
119,Uniform,teaching_assistant_LM,0.615555555555556,0.115256022043466
129,Uniform,teaching_assistant_LM,0.615555555555556,0.115256022043466
139,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
149,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
159,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
169,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
179,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
189,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
199,Uniform,teaching_assistant_LM,0.625555555555555,0.118060457414573
average,Uniform,contraceptive_LS,0.617738095238095,0.0661865839650261
9,Uniform,contraceptive_LS,0.610112044817927,0.0655345727189609
19,Uniform,contraceptive_LS,0.624355742296919,0.0452195401526103
29,Uniform,contraceptive_LS,0.623221288515406,0.0644170348209769
39,Uniform,contraceptive_LS,0.625490196078431,0.063243595773874
49,Uniform,contraceptive_LS,0.62312324929972,0.0554320925666603
59,Uniform,contraceptive_LS,0.623095238095238,0.0700962459346521
69,Uniform,contraceptive_LS,0.621918767507003,0.0694468649783333
79,Uniform,contraceptive_LS,0.617198879551821,0.0646169574200621
89,Uniform,contraceptive_LS,0.621904761904762,0.0736968052953313
99,Uniform,contraceptive_LS,0.62312324929972,0.0708117195076492
109,Uniform,contraceptive_LS,0.620742296918767,0.0667591052673044
119,Uniform,contraceptive_LS,0.618375350140056,0.0665518421528357
129,Uniform,contraceptive_LS,0.618389355742297,0.0705659713356348
139,Uniform,contraceptive_LS,0.614831932773109,0.068457281543747
149,Uniform,contraceptive_LS,0.611288515406162,0.0714369681937173
159,Uniform,contraceptive_LS,0.611288515406162,0.0714369681937173
169,Uniform,contraceptive_LS,0.607717086834734,0.0714578414119926
179,Uniform,contraceptive_LS,0.612464985994398,0.0633954268151578
189,Uniform,contraceptive_LS,0.612464985994398,0.0670178433536393
199,Uniform,contraceptive_LS,0.613655462184874,0.0641370018636658
average,Uniform,diabetic_retinopathy,0.674317091454273,0.0425373043791087
9,Uniform,diabetic_retinopathy,0.662016491754123,0.0479973774109025
19,Uniform,diabetic_retinopathy,0.664640179910045,0.0462164588371101
29,Uniform,diabetic_retinopathy,0.685502248875562,0.0445771536842445
39,Uniform,diabetic_retinopathy,0.673335832083958,0.033995978394824
49,Uniform,diabetic_retinopathy,0.679407796101949,0.034894478552636
59,Uniform,diabetic_retinopathy,0.683733133433283,0.0419924093939925
69,Uniform,diabetic_retinopathy,0.681986506746627,0.0346035382336907
79,Uniform,diabetic_retinopathy,0.671581709145427,0.030975447442872
89,Uniform,diabetic_retinopathy,0.666349325337331,0.0509134092279919
99,Uniform,diabetic_retinopathy,0.667218890554723,0.0441658968933609
109,Uniform,diabetic_retinopathy,0.672458770614693,0.046376814286822
119,Uniform,diabetic_retinopathy,0.677668665667166,0.0434836091594109
129,Uniform,diabetic_retinopathy,0.672443778110945,0.0429183126176538
139,Uniform,diabetic_retinopathy,0.67592203898051,0.042894004760359
149,Uniform,diabetic_retinopathy,0.676806596701649,0.0365691483775776
159,Uniform,diabetic_retinopathy,0.672451274362819,0.0378633407337537
169,Uniform,diabetic_retinopathy,0.677661169415292,0.0456159912874224
179,Uniform,diabetic_retinopathy,0.675914542728636,0.052779883951379
189,Uniform,diabetic_retinopathy,0.673313343328336,0.0481089383735608
199,Uniform,diabetic_retinopathy,0.675929535232384,0.0438038959626101
average,Uniform,Yeast_CYTvsNUC,0.68271847690387,0.0429574134616066
9,Uniform,Yeast_CYTvsNUC,0.642297128589263,0.0315051637684074
19,Uniform,Yeast_CYTvsNUC,0.671460674157303,0.0463008624605093
29,Uniform,Yeast_CYTvsNUC,0.679325842696629,0.0403882200564418
39,Uniform,Yeast_CYTvsNUC,0.675930087390762,0.0434102342134105
49,Uniform,Yeast_CYTvsNUC,0.684918851435705,0.0412767723519492
59,Uniform,Yeast_CYTvsNUC,0.684893882646692,0.0486060517957766
69,Uniform,Yeast_CYTvsNUC,0.6916354556804,0.0495964210144688
79,Uniform,Yeast_CYTvsNUC,0.68940074906367,0.0462832143561822
89,Uniform,Yeast_CYTvsNUC,0.683770287141074,0.0466641438913291
99,Uniform,Yeast_CYTvsNUC,0.688277153558052,0.0456136203475599
109,Uniform,Yeast_CYTvsNUC,0.690524344569288,0.0390838631708834
119,Uniform,Yeast_CYTvsNUC,0.682659176029962,0.0445347690567787
129,Uniform,Yeast_CYTvsNUC,0.682659176029962,0.0422724723800813
139,Uniform,Yeast_CYTvsNUC,0.684881398252185,0.0456927493484833
149,Uniform,Yeast_CYTvsNUC,0.68601747815231,0.0395326455761025
159,Uniform,Yeast_CYTvsNUC,0.68601747815231,0.0419503727865261
169,Uniform,Yeast_CYTvsNUC,0.687141073657928,0.0423848411123351
179,Uniform,Yeast_CYTvsNUC,0.684906367041198,0.040663131375833
